TAL Education Group Quarterly Net Income (Millions of US $),TAL Education Group Quarterly Net Income (Millions of US $).1
2024-05-31,$11
2024-02-29,$28
2023-11-30,$-24
2023-08-31,$38
2023-05-31,$-45
2023-02-28,$-39
2022-11-30,$-52
2022-08-31,$-1
2022-05-31,$-44
2022-02-28,$-108
2021-11-30,$-99
2021-08-31,$-827
2021-05-31,$-102
2021-02-28,$-169
2020-11-30,$-44
2020-08-31,$15
2020-05-31,$82
2020-02-29,$-90
2019-11-30,$20
2019-08-31,$-24
2019-05-31,$-16
2019-02-28,$100
2018-11-30,$124
2018-08-31,$77
2018-05-31,$67
2018-02-28,$70
2017-11-30,$41
2017-08-31,$59
2017-05-31,$29
2017-02-28,$34
2016-11-30,$14
2016-08-31,$56
2016-05-31,$13
2016-02-29,$11
2015-11-30,$10
2015-08-31,$63
2015-05-31,$19
2015-02-28,$14
2014-11-30,$11
2014-08-31,$29
2014-05-31,$13
2014-02-28,$17
2013-11-30,$13
2013-08-31,$23
2013-05-31,$8
2013-02-28,$7
2012-11-30,$6
2012-08-31,$16
2012-05-31,$5
2012-02-29,$8
2011-11-30,$1
2011-08-31,$11
2011-05-31,$5
2011-02-28,$8
2010-11-30,$2
2010-08-31,$11
2010-05-31,$3
2009-11-30,$2
