Thomson Reuters Corp Quarterly Net Income (Millions of US $),Thomson Reuters Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$841
2024-03-31,$481
2023-12-31,$678
2023-09-30,$367
2023-06-30,$894
2023-03-31,$756
2022-12-31,$218
2022-09-30,$228
2022-06-30,$-115
2022-03-31,"$1,007"
2021-12-31,$-175
2021-09-30,$-240
2021-06-30,"$1,068"
2021-03-31,"$5,036"
2020-12-31,$560
2020-09-30,$241
2020-06-30,$126
2020-03-31,$193
2019-12-31,"$1,324"
2019-09-30,$-44
2019-06-30,$180
2019-03-31,$104
2018-12-31,"$3,375"
2018-09-30,$272
2018-06-30,$625
2018-03-31,$-339
2017-12-31,$574
2017-09-30,$330
2017-06-30,$192
2017-03-31,$297
2016-12-31,"$2,226"
2016-09-30,$273
2016-06-30,$337
2016-03-31,$262
2015-12-31,$406
2015-09-30,$280
2015-06-30,$262
2015-03-31,$305
2014-12-31,"$1,147"
2014-09-30,$231
2014-06-30,$249
2014-03-31,$282
2013-12-31,$-350
2013-09-30,$271
2013-06-30,$248
2013-03-31,$-32
2012-12-31,$350
2012-09-30,$441
2012-06-30,$902
2012-03-31,$293
2011-12-31,"$-2,581"
2011-09-30,$369
2011-06-30,$572
2011-03-31,$250
2010-12-31,$224
2010-09-30,$268
2010-06-30,$290
2010-03-31,$134
2009-12-31,$177
2009-09-30,$167
2009-06-30,$315
2009-03-31,$227
