Upbound Quarterly Net Income (Millions of US $),Upbound Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$28
2023-12-31,$-11
2023-09-30,$4
2023-06-30,$-46
2023-03-31,$47
2022-12-31,$3
2022-09-30,$-6
2022-06-30,$20
2022-03-31,$-4
2021-12-31,$10
2021-09-30,$21
2021-06-30,$61
2021-03-31,$43
2020-12-31,$56
2020-09-30,$64
2020-06-30,$38
2020-03-31,$49
2019-12-31,$40
2019-09-30,$31
2019-06-30,$94
2019-03-31,$7
2018-12-31,$2
2018-09-30,$13
2018-06-30,$14
2018-03-31,$-20
2017-12-31,$35
2017-09-30,$-13
2017-06-30,$-9
2017-03-31,$-7
2016-12-31,$-146
2016-09-30,$6
2016-06-30,$10
2016-03-31,$25
2015-12-31,"$-1,000"
2015-09-30,$-4
2015-06-30,$23
2015-03-31,$27
2014-12-31,$26
2014-09-30,$26
2014-06-30,$18
2014-03-31,$27
2013-12-31,$14
2013-09-30,$27
2013-06-30,$42
2013-03-31,$46
2012-12-31,$44
2012-09-30,$40
2012-06-30,$44
2012-03-31,$52
2011-12-31,$48
2011-09-30,$31
2011-06-30,$40
2011-03-31,$44
2010-12-31,$32
2010-09-30,$40
2010-06-30,$48
2010-03-31,$51
2009-12-31,$44
2009-09-30,$37
2009-06-30,$42
2009-03-31,$45
