United Therapeutics Quarterly Net Income (Millions of US $),United Therapeutics Quarterly Net Income (Millions of US $).1
2024-06-30,$278
2024-03-31,$307
2023-12-31,$217
2023-09-30,$268
2023-06-30,$259
2023-03-31,$241
2022-12-31,$132
2022-09-30,$239
2022-06-30,$116
2022-03-31,$240
2021-12-31,$112
2021-09-30,$163
2021-06-30,$173
2021-03-31,$28
2020-12-31,$99
2020-09-30,$171
2020-06-30,$107
2020-03-31,$138
2019-12-31,$53
2019-09-30,$132
2019-06-30,$205
2019-03-31,$-495
2018-12-31,$65
2018-09-30,$107
2018-06-30,$173
2018-03-31,$245
2017-12-31,$19
2017-09-30,$276
2017-06-30,$-56
2017-03-31,$179
2016-12-31,$110
2016-09-30,$162
2016-06-30,$206
2016-03-31,$236
2015-12-31,$105
2015-09-30,$464
2015-06-30,$99
2015-03-31,$-17
2014-12-31,$116
2014-09-30,$-25
2014-06-30,$112
2014-03-31,$138
2013-12-31,$-30
2013-09-30,$63
2013-06-30,$80
2013-03-31,$62
2012-12-31,$83
2012-09-30,$78
2012-06-30,$72
2012-03-31,$71
2011-12-31,$43
2011-09-30,$84
2011-06-30,$74
2011-03-31,$16
2010-12-31,$10
2010-09-30,$40
2010-06-30,$38
2010-03-31,$19
2009-12-31,$-3
2009-09-30,$12
2009-06-30,$-2
2009-03-31,$13
