Western Alliance Bancorporation Quarterly Net Income (Millions of US $),Western Alliance Bancorporation Quarterly Net Income (Millions of US $).1
2024-06-30,$190
2024-03-31,$174
2023-12-31,$145
2023-09-30,$213
2023-06-30,$213
2023-03-31,$139
2022-12-31,$290
2022-09-30,$261
2022-06-30,$257
2022-03-31,$237
2021-12-31,$243
2021-09-30,$237
2021-06-30,$224
2021-03-31,$193
2020-12-31,$194
2020-09-30,$136
2020-06-30,$93
2020-03-31,$84
2019-12-31,$128
2019-09-30,$127
2019-06-30,$123
2019-03-31,$121
2018-12-31,$119
2018-09-30,$111
2018-06-30,$105
2018-03-31,$101
2017-12-31,$89
2017-09-30,$83
2017-06-30,$80
2017-03-31,$73
2016-12-31,$70
2016-09-30,$67
2016-06-30,$62
2016-03-31,$61
2015-12-31,$58
2015-09-30,$56
2015-06-30,$39
2015-03-31,$40
2014-12-31,$40
2014-09-30,$41
2014-06-30,$35
2014-03-31,$31
2013-12-31,$31
2013-09-30,$28
2013-06-30,$34
2013-03-31,$21
2012-12-31,$32
2012-09-30,$15
2012-06-30,$13
2012-03-31,$10
2011-12-31,$5
2011-09-30,$4
2011-06-30,$4
2011-03-31,$3
2010-12-31,$-13
2010-09-30,$-0
2010-06-30,$-1
2010-03-31,$-2
2009-12-31,$-29
2009-09-30,$-26
2009-06-30,$-17
2009-03-31,$-89
