Winnebago Industries Quarterly Net Income (Millions of US $),Winnebago Industries Quarterly Net Income (Millions of US $).1
2024-05-31,$29
2024-02-29,$-13
2023-11-30,$26
2023-08-31,$44
2023-05-31,$59
2023-02-28,$53
2022-11-30,$60
2022-08-31,$83
2022-05-31,$117
2022-02-28,$91
2021-11-30,$100
2021-08-31,$84
2021-05-31,$71
2021-02-28,$69
2020-11-30,$57
2020-08-31,$42
2020-05-31,$-12
2020-02-29,$17
2019-11-30,$14
2019-08-31,$32
2019-05-31,$36
2019-02-28,$22
2018-11-30,$22
2018-08-31,$30
2018-05-31,$33
2018-02-28,$22
2017-11-30,$18
2017-08-31,$25
2017-05-31,$19
2017-02-28,$15
2016-11-30,$12
2016-08-31,$13
2016-05-31,$14
2016-02-29,$9
2015-11-30,$9
2015-08-31,$12
2015-05-31,$12
2015-02-28,$8
2014-11-30,$10
2014-08-31,$13
2014-05-31,$11
2014-02-28,$10
2013-11-30,$11
2013-08-31,$11
2013-05-31,$8
2013-02-28,$6
2012-11-30,$7
2012-08-31,$41
2012-05-31,$4
2012-02-29,$-1
2011-11-30,$1
2011-08-31,$4
2011-05-31,$1
2011-02-28,$3
2010-11-30,$4
2010-08-31,$5
2010-05-31,$6
2010-02-28,$1
2009-11-30,$-1
2009-08-31,$-50
2009-05-31,$-9
2009-02-28,$-10
