Workiva Quarterly Net Income (Millions of US $),Workiva Quarterly Net Income (Millions of US $).1
2024-06-30,$-18
2024-03-31,$-12
2023-12-31,$-4
2023-09-30,$-56
2023-06-30,$-21
2023-03-31,$-46
2022-12-31,$-14
2022-09-30,$-30
2022-06-30,$-29
2022-03-31,$-18
2021-12-31,$-14
2021-09-30,$-7
2021-06-30,$-10
2021-03-31,$-7
2020-12-31,$-8
2020-09-30,$-10
2020-06-30,$-20
2020-03-31,$-10
2019-12-31,$-16
2019-09-30,$-16
2019-06-30,$-8
2019-03-31,$-7
2018-12-31,$-8
2018-09-30,$-11
2018-06-30,$-22
2018-03-31,$-10
2017-12-31,$-14
2017-09-30,$-14
2017-06-30,$-10
2017-03-31,$-6
2016-12-31,$-8
2016-09-30,$-13
2016-06-30,$-12
2016-03-31,$-12
2015-12-31,$-10
2015-09-30,$-15
2015-06-30,$-11
2015-03-31,$-7
2014-12-31,$-13
2014-09-30,$-13
2014-06-30,$-11
2014-03-31,$-5
2013-12-31,
2013-09-30,
2012-12-31,
