Williams Quarterly Net Income (Millions of US $),Williams Quarterly Net Income (Millions of US $).1
2024-06-30,$401
2024-03-31,$631
2023-12-31,"$1,137"
2023-09-30,$653
2023-06-30,$460
2023-03-31,$926
2022-12-31,$668
2022-09-30,$599
2022-06-30,$400
2022-03-31,$379
2021-12-31,$621
2021-09-30,$164
2021-06-30,$304
2021-03-31,$425
2020-12-31,$115
2020-09-30,$308
2020-06-30,$303
2020-03-31,$-518
2019-12-31,$123
2019-09-30,$220
2019-06-30,$310
2019-03-31,$194
2018-12-31,$-572
2018-09-30,$129
2018-06-30,$135
2018-03-31,$152
2017-12-31,"$1,687"
2017-09-30,$33
2017-06-30,$81
2017-03-31,$373
2016-12-31,$-15
2016-09-30,$61
2016-06-30,$-405
2016-03-31,$-65
2015-12-31,$-715
2015-09-30,$-40
2015-06-30,$114
2015-03-31,$70
2014-12-31,$193
2014-09-30,"$1,678"
2014-06-30,$103
2014-03-31,$140
2013-12-31,$-14
2013-09-30,$141
2013-06-30,$142
2013-03-31,$161
2012-12-31,$149
2012-09-30,$155
2012-06-30,$132
2012-03-31,$423
2011-12-31,$-444
2011-09-30,$272
2011-06-30,$227
2011-03-31,$321
2010-12-31,$174
2010-09-30,"$-1,263"
2010-06-30,$185
2010-03-31,$-193
2009-12-31,$172
2009-09-30,$143
2009-06-30,$142
2009-03-31,$-172
