WesBanco Quarterly Net Income (Millions of US $),WesBanco Quarterly Net Income (Millions of US $).1
2024-06-30,$26
2024-03-31,$33
2023-12-31,$32
2023-09-30,$34
2023-06-30,$42
2023-03-31,$40
2022-12-31,$50
2022-09-30,$51
2022-06-30,$40
2022-03-31,$42
2021-12-31,$52
2021-09-30,$42
2021-06-30,$68
2021-03-31,$71
2020-12-31,$50
2020-09-30,$41
2020-06-30,$4
2020-03-31,$23
2019-12-31,$36
2019-09-30,$37
2019-06-30,$45
2019-03-31,$40
2018-12-31,$44
2018-09-30,$32
2018-06-30,$33
2018-03-31,$34
2017-12-31,$16
2017-09-30,$26
2017-06-30,$26
2017-03-31,$26
2016-12-31,$24
2016-09-30,$17
2016-06-30,$22
2016-03-31,$23
2015-12-31,$23
2015-09-30,$22
2015-06-30,$22
2015-03-31,$14
2014-12-31,$17
2014-09-30,$18
2014-06-30,$19
2014-03-31,$16
2013-12-31,$15
2013-09-30,$16
2013-06-30,$17
2013-03-31,$16
2012-12-31,$13
2012-09-30,$13
2012-06-30,$12
2012-03-31,$12
2011-12-31,$11
2011-09-30,$11
2011-06-30,$12
2011-03-31,$10
2010-12-31,$10
2010-09-30,$9
2010-06-30,$8
2010-03-31,$8
2009-12-31,$7
2009-09-30,$2
2009-06-30,$5
2009-03-31,$4
