Wintrust Financial Quarterly Net Income (Millions of US $),Wintrust Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$145
2024-03-31,$180
2023-12-31,$116
2023-09-30,$157
2023-06-30,$148
2023-03-31,$173
2022-12-31,$138
2022-09-30,$136
2022-06-30,$88
2022-03-31,$120
2021-12-31,$92
2021-09-30,$102
2021-06-30,$98
2021-03-31,$146
2020-12-31,$94
2020-09-30,$97
2020-06-30,$20
2020-03-31,$61
2019-12-31,$84
2019-09-30,$97
2019-06-30,$79
2019-03-31,$87
2018-12-31,$78
2018-09-30,$90
2018-06-30,$88
2018-03-31,$80
2017-12-31,$67
2017-09-30,$64
2017-06-30,$63
2017-03-31,$55
2016-12-31,$51
2016-09-30,$49
2016-06-30,$46
2016-03-31,$45
2015-12-31,$32
2015-09-30,$34
2015-06-30,$42
2015-03-31,$37
2014-12-31,$37
2014-09-30,$39
2014-06-30,$37
2014-03-31,$33
2013-12-31,$34
2013-09-30,$34
2013-06-30,$32
2013-03-31,$29
2012-12-31,$28
2012-09-30,$30
2012-06-30,$23
2012-03-31,$22
2011-12-31,$18
2011-09-30,$29
2011-06-30,$11
2011-03-31,$15
2010-12-31,$-2
2010-09-30,$15
2010-06-30,$8
2010-03-31,$11
2009-12-31,$23
2009-09-30,$27
2009-06-30,$2
2009-03-31,$1
