Antero Midstream Quarterly Net Income (Millions of US $),Antero Midstream Quarterly Net Income (Millions of US $).1
2024-06-30,$86
2024-03-31,$104
2023-12-31,$100
2023-09-30,$98
2023-06-30,$87
2023-03-31,$86
2022-12-31,$83
2022-09-30,$84
2022-06-30,$79
2022-03-31,$80
2021-12-31,$78
2021-09-30,$89
2021-06-30,$80
2021-03-31,$83
2020-12-31,$76
2020-09-30,$105
2020-06-30,$88
2020-03-31,$-393
2019-12-31,$-145
2019-09-30,$-290
2019-06-30,$69
2019-03-31,$10
2018-12-31,$18
2018-09-30,$17
2018-06-30,$14
2018-03-31,$12
2017-12-31,$4
2017-09-30,$3
2017-06-30,$-2
2017-03-31,$-3
2016-12-31,$4
2016-09-30,$3
2016-06-30,$2
2016-03-31,$1
2015-12-31,
