Barclays Quarterly Net Income (Millions of US $),Barclays Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,561"
2024-03-31,"$1,966"
2023-12-31,$-125
2023-09-30,"$1,613"
2023-06-30,"$1,663"
2023-03-31,"$2,166"
2022-12-31,"$1,204"
2022-09-30,"$1,781"
2022-06-30,"$1,345"
2022-03-31,"$1,884"
2021-12-31,"$1,207"
2021-09-30,"$1,994"
2021-06-30,"$2,947"
2021-03-31,"$2,619"
2020-12-31,$283
2020-09-30,$789
2020-06-30,$112
2020-03-31,$775
2019-12-31,"$1,859"
2019-09-30,$-360
2019-06-30,"$1,329"
2019-03-31,"$1,352"
2018-12-31,$-296
2018-09-30,"$1,306"
2018-06-30,"$1,677"
2018-03-31,$-825
2017-12-31,"$-1,684"
2017-09-30,$763
2017-06-30,"$-1,792"
2017-03-31,$235
2016-12-31,$196
2016-09-30,$544
2016-06-30,$971
2016-03-31,$662
2015-06-30,"$1,755"
2015-03-31,$710
2014-12-31,"$-2,583"
2014-09-30,$633
2014-06-30,$273
2014-03-31,"$1,628"
2013-12-31,"$-1,056"
2013-09-30,$822
2013-06-30,$-258
2013-03-31,"$1,304"
2012-12-31,$-610
2012-09-30,$-436
2012-06-30,$640
2012-03-31,$-547
2011-12-31,$560
2011-09-30,"$1,859"
2011-06-30,$790
2011-03-31,"$1,987"
2010-12-31,"$1,737"
2010-09-30,$79
2010-06-30,"$2,170"
2010-03-31,"$1,627"
2009-12-31,"$11,226"
2009-06-30,
2009-03-31,"$1,519"
