Canadian Natural Resources Quarterly Net Income (Millions of US $),Canadian Natural Resources Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,253"
2024-03-31,$732
2023-12-31,"$1,934"
2023-09-30,"$1,747"
2023-06-30,"$1,088"
2023-03-31,"$1,330"
2022-12-31,"$1,066"
2022-09-30,"$2,156"
2022-06-30,"$2,742"
2022-03-31,"$2,449"
2021-12-31,"$2,015"
2021-09-30,"$1,749"
2021-06-30,"$1,263"
2021-03-31,"$1,088"
2020-12-31,$549
2020-09-30,$306
2020-06-30,$-224
2020-03-31,$-956
2019-12-31,$464
2019-09-30,$778
2019-06-30,"$2,117"
2019-03-31,$723
2018-12-31,$-603
2018-09-30,"$1,379"
2018-06-30,$761
2018-03-31,$461
2017-12-31,$321
2017-09-30,$546
2017-06-30,$797
2017-03-31,$185
2016-12-31,$436
2016-09-30,$-250
2016-06-30,$-263
2016-03-31,$-77
2015-12-31,$98
2015-09-30,$-85
2015-06-30,$-329
2015-03-31,$-209
2014-12-31,$959
2014-09-30,$910
2014-06-30,$977
2014-03-31,$571
2013-12-31,$373
2013-09-30,"$1,119"
2013-06-30,$461
2013-03-31,$211
2012-12-31,$342
2012-09-30,$363
2012-06-30,$756
2012-03-31,$434
2011-12-31,$831
2011-09-30,$826
2011-06-30,$968
2011-03-31,$48
2010-12-31,$-427
2010-09-30,$575
2010-06-30,$653
2010-03-31,$842
2009-12-31,$441
2009-09-30,$618
2009-06-30,$139
2009-03-31,$246
