Erie Indemnity Quarterly Net Income (Millions of US $),Erie Indemnity Quarterly Net Income (Millions of US $).1
2024-06-30,$164
2024-03-31,$125
2023-12-31,$111
2023-09-30,$131
2023-06-30,$118
2023-03-31,$86
2022-12-31,$65
2022-09-30,$84
2022-06-30,$80
2022-03-31,$69
2021-12-31,$55
2021-09-30,$90
2021-06-30,$79
2021-03-31,$74
2020-12-31,$63
2020-09-30,$89
2020-06-30,$82
2020-03-31,$59
2019-12-31,$60
2019-09-30,$94
2019-06-30,$88
2019-03-31,$75
2018-12-31,$62
2018-09-30,$80
2018-06-30,$80
2018-03-31,$66
2017-12-31,$32
2017-09-30,$59
2017-06-30,$59
2017-03-31,$48
2016-12-31,$46
2016-09-30,$57
2016-06-30,$61
2016-03-31,$46
2015-12-31,$30
2015-09-30,$50
2015-06-30,$56
2015-03-31,$39
2014-12-31,$25
2014-09-30,$47
2014-06-30,$49
2014-03-31,$46
2013-12-31,$36
2013-09-30,$46
2013-06-30,$44
2013-03-31,$37
2012-12-31,$30
2012-09-30,$51
2012-06-30,$43
2012-03-31,$36
2011-12-31,$26
2011-09-30,$47
2011-06-30,$52
2011-03-31,$44
2010-12-31,$12
2010-09-30,$54
2010-06-30,$49
2010-03-31,$47
2009-12-31,$25
2009-09-30,$40
2009-06-30,$33
2009-03-31,$11
