Houlihan Lokey Quarterly Net Income (Millions of US $),Houlihan Lokey Quarterly Net Income (Millions of US $).1
2024-06-30,$89
2024-03-31,$81
2023-12-31,$71
2023-09-30,$67
2023-06-30,$61
2023-03-31,$60
2022-12-31,$63
2022-09-30,$61
2022-06-30,$71
2022-03-31,$65
2021-12-31,$174
2021-09-30,$113
2021-06-30,$86
2021-03-31,$99
2020-12-31,$119
2020-09-30,$49
2020-06-30,$46
2020-03-31,$59
2019-12-31,$49
2019-09-30,$33
2019-06-30,$43
2019-03-31,$45
2018-12-31,$44
2018-09-30,$40
2018-06-30,$30
2018-03-31,$38
2017-12-31,$62
2017-09-30,$33
2017-06-30,$39
2017-03-31,$34
2016-12-31,$34
2016-09-30,$21
2016-06-30,$19
2016-03-31,$23
2015-12-31,$23
2015-09-30,$9
2015-06-30,$15
2015-03-31,$25
2014-12-31,$24
2014-09-30,$17
2014-06-30,$14
2014-03-31,
