Honda Quarterly Net Income (Millions of US $),Honda Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,526"
2024-03-31,"$1,519"
2023-12-31,"$1,722"
2023-09-30,"$1,747"
2023-06-30,"$2,650"
2023-03-31,$572
2022-12-31,"$1,737"
2022-09-30,"$1,363"
2022-06-30,"$1,149"
2022-03-31,"$1,053"
2021-12-31,"$1,698"
2021-09-30,"$1,517"
2021-06-30,"$2,025"
2021-03-31,"$1,940"
2020-12-31,"$2,727"
2020-09-30,"$2,265"
2020-06-30,$-752
2020-03-31,$-274
2019-12-31,"$1,071"
2019-09-30,"$1,828"
2019-06-30,"$1,568"
2019-03-31,$-149
2018-12-31,"$1,497"
2018-09-30,"$1,897"
2018-06-30,"$2,248"
2018-03-31,"$1,027"
2017-12-31,"$5,075"
2017-09-30,"$1,566"
2017-06-30,"$1,866"
2017-03-31,$821
2016-12-31,"$1,553"
2016-09-30,"$1,736"
2016-06-30,"$1,625"
2016-03-31,$-732
2015-12-31,"$1,018"
2015-09-30,"$1,048"
2015-06-30,"$1,526"
2015-03-31,$636
2014-12-31,"$1,201"
2014-09-30,"$1,362"
2014-06-30,"$1,436"
2014-03-31,"$1,681"
2013-12-31,"$1,607"
2013-09-30,"$1,216"
2013-06-30,"$1,237"
2013-03-31,$769
2012-12-31,$953
2012-09-30,"$1,060"
2012-06-30,"$1,661"
2012-03-31,$871
2011-12-31,$613
2011-09-30,$788
2011-06-30,$394
2011-03-31,$536
2010-12-31,$987
2010-09-30,"$1,622"
2010-06-30,"$3,080"
2010-03-31,"$-1,924"
2009-12-31,"$1,533"
2009-09-30,$599
2009-06-30,$80
2009-03-31,"$-1,895"
