Madrigal Pharmaceuticals Quarterly Net Income (Millions of US $),Madrigal Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-152
2024-03-31,$-148
2023-12-31,$-112
2023-09-30,$-99
2023-06-30,$-86
2023-03-31,$-77
2022-12-31,$-86
2022-09-30,$-81
2022-06-30,$-71
2022-03-31,$-58
2021-12-31,$-65
2021-09-30,$-63
2021-06-30,$-62
2021-03-31,$-53
2020-12-31,$-59
2020-09-30,$-58
2020-06-30,$-49
2020-03-31,$-36
2019-12-31,$-28
2019-09-30,$-21
2019-06-30,$-20
2019-03-31,$-15
2018-12-31,$-11
2018-09-30,$-9
2018-06-30,$-6
2018-03-31,$-6
2017-12-31,$-8
2017-09-30,$-8
2017-06-30,$-8
2017-03-31,$-6
2016-12-31,$-8
2016-09-30,$-14
2016-06-30,$-3
2016-03-31,$-2
2015-12-31,$35
2015-09-30,$-2
2015-06-30,$-20
2015-03-31,$-21
2014-12-31,$-20
2014-09-30,$-20
2014-06-30,$-22
2014-03-31,$-24
2013-12-31,$-24
2013-09-30,$-23
2013-06-30,$-23
2013-03-31,$-21
2012-12-31,$-18
2012-09-30,$-15
2012-06-30,$-15
2012-03-31,$-15
2011-12-31,$-11
2011-09-30,$-13
2011-06-30,$-13
2011-03-31,$-11
2010-12-31,$-9
2010-09-30,$-10
2010-06-30,$-9
2010-03-31,$-9
2009-12-31,$-7
2009-09-30,$118
2009-06-30,$-8
2009-03-31,$-23
