Pure Storage Quarterly Net Income (Millions of US $),Pure Storage Quarterly Net Income (Millions of US $).1
2024-07-31,$36
2024-04-30,$-35
2024-01-31,$65
2023-10-31,$70
2023-07-31,$-7
2023-04-30,$-67
2023-01-31,$74
2022-10-31,$-1
2022-07-31,$11
2022-04-30,$-12
2022-01-31,$15
2021-10-31,$-29
2021-07-31,$-45
2021-04-30,$-84
2021-01-31,$-52
2020-10-31,$-74
2020-07-31,$-65
2020-04-30,$-91
2020-01-31,$-5
2019-10-31,$-30
2019-07-31,$-66
2019-04-30,$-100
2019-01-31,$-26
2018-10-31,$-28
2018-07-31,$-60
2018-04-30,$-64
2018-01-31,$-15
2017-10-31,$-29
2017-07-31,$-58
2017-04-30,$-57
2017-01-31,$-19
2016-10-31,$-79
2016-07-31,$-60
2016-04-30,$-64
2016-01-31,$-44
2015-10-31,$-57
2015-07-31,$-64
2015-04-30,$-49
2015-01-31,
2014-10-31,$-40
2014-01-31,
