Valmont Industries Quarterly Net Income (Millions of US $),Valmont Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$100
2024-03-31,$88
2023-12-31,$29
2023-09-30,$-49
2023-06-30,$89
2023-03-31,$75
2022-12-31,$40
2022-09-30,$72
2022-06-30,$76
2022-03-31,$62
2021-12-31,$27
2021-09-30,$52
2021-06-30,$62
2021-03-31,$55
2020-12-31,$36
2020-09-30,$39
2020-06-30,$23
2020-03-31,$43
2019-12-31,$33
2019-09-30,$38
2019-06-30,$40
2019-03-31,$36
2018-12-31,$25
2018-09-30,$4
2018-06-30,$33
2018-03-31,$39
2017-12-31,$-4
2017-09-30,$35
2017-06-30,$46
2017-03-31,$39
2016-12-31,$70
2016-09-30,$28
2016-06-30,$42
2016-03-31,$33
2015-12-31,$-31
2015-09-30,$12
2015-06-30,$28
2015-03-31,$31
2014-12-31,$40
2014-09-30,$24
2014-06-30,$64
2014-03-31,$56
2013-12-31,$55
2013-09-30,$56
2013-06-30,$90
2013-03-31,$78
2012-12-31,$65
2012-09-30,$57
2012-06-30,$60
2012-03-31,$52
2011-12-31,$115
2011-09-30,$42
2011-06-30,$46
2011-03-31,$26
2010-12-31,$35
2010-09-30,$26
2010-06-30,$17
2010-03-31,$16
2009-12-31,$30
2009-09-30,$40
2009-06-30,$44
2009-03-31,$36
