Zurn Elkay Water Solutions Cor Quarterly Net Income (Millions of US $),Zurn Elkay Water Solutions Cor Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$34
2023-12-31,$14
2023-09-30,$41
2023-06-30,$35
2023-03-31,$23
2022-12-31,$14
2022-09-30,$-19
2022-06-30,$36
2022-03-31,$30
2021-12-31,$-66
2021-09-30,$64
2021-06-30,$73
2021-03-31,$50
2020-12-31,
2020-09-30,$45
2020-06-30,$36
2020-03-31,$29
2019-12-31,$46
2019-09-30,$51
2019-06-30,$41
2019-03-31,
2018-12-31,$20
2018-09-30,$-43
2018-06-30,$-7
2018-03-31,
2017-12-31,$76
2017-09-30,$24
2017-06-30,$21
2017-03-31,
2016-12-31,$2
2016-09-30,$25
2016-06-30,$19
2016-03-31,
2015-12-31,$24
2015-09-30,$23
2015-06-30,$21
2015-03-31,
2014-12-31,$2
2014-09-30,$37
2014-06-30,$12
2014-03-31,
2013-12-31,$29
2013-09-30,$-52
2013-06-30,$14
2013-03-31,
2012-12-31,$9
2012-09-30,$19
2012-06-30,$-2
2012-03-31,
2011-12-31,$6
2011-09-30,$5
2011-06-30,$11
2011-03-31,
2010-12-31,$1
2010-09-30,$22
2010-06-30,$-77
