American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data,American PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,77.05,,0.0
2024-06-30,74.24,$-1.29,0.0
2024-03-31,77.75,$6.70,11.6
2023-12-31,67.06,$5.31,12.63
2023-09-30,59.67,$8.69,6.87
2023-06-30,56.32,$9.66,5.83
2022-12-31,61.12,$12.78,4.78
2022-09-30,45.66,$16.81,2.72
2022-06-30,48.88,$13.34,3.66
2022-03-31,59.64,$11.48,5.19
2021-12-31,53.73,$6.44,8.34
2023-03-31,48.98,$6.47,7.57
2021-09-30,51.57,$6.37,8.1
2021-06-30,44.46,$4.77,9.32
2021-03-31,42.89,$-4.49,0.0
2020-12-31,34.91,$-6.92,0.0
2020-09-30,25.18,$-5.82,0.0
2020-06-30,28.21,$-5.42,0.0
2020-03-31,21.73,$4.97,4.37
2019-12-31,45.49,$3.74,12.16
2019-09-30,49.05,$2.01,24.4
2019-06-30,46.65,$-0.12,0.0
2019-03-31,37.48,$-0.34,0.0
2018-12-31,34.05,$-0.08,0.0
2018-09-30,45.6,$-6.71,0.0
2018-06-30,45.14,$-7.21,0.0
2018-03-31,46.07,$-7.04,0.0
2017-12-31,50.14,$-6.87,0.0
2017-09-30,51.39,$-2.51,0.0
2017-06-30,52.06,$-0.18,0.0
2017-03-31,51.72,$0.31,166.85
2016-12-31,53.84,$-1.03,0.0
2016-09-30,48.67,$0.44,110.62
2016-06-30,43.15,$-0.16,0.0
2016-03-31,43.84,$-0.52,0.0
2015-12-31,49.96,$1.42,35.18
2015-09-30,45.6,$3.38,13.49
2015-06-30,49.37,$5.08,9.72
2015-03-31,43.67,$5.86,7.45
2014-12-31,44.54,$5.17,8.61
2014-09-30,42.86,$6.05,7.08
2014-06-30,43.21,$5.99,7.21
2014-03-31,39.5,$5.73,6.89
2013-12-31,40.22,$6.13,6.56
2013-09-30,38.24,$2.11,18.12
2013-06-30,35.08,$1.78,19.71
2013-03-31,30.46,$1.27,23.99
2012-12-31,27.7,$1.49,18.59
2012-09-30,25.73,$14.60,1.76
2012-06-30,25.18,$11.31,2.23
2012-03-31,24.19,$9.63,2.51
2011-12-31,18.2,$24.52,0.74
2011-09-30,17.22,$-3.53,0.0
2011-03-31,27.57,$-5.33,0.0
2010-12-31,37.94,$-2.82,0.0
2010-09-30,25.75,$-84.93,0.0
2010-06-30,22.68,$-66.31,0.0
2010-03-31,22.48,$-61.67,0.0
2009-12-31,19.74,$-61.53,0.0
2011-06-30,23.01,$-35.62,0.0
