Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data,Autoliv PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,93.89,,12.5
2024-06-30,106.27,$7.51,14.15
2024-03-31,118.97,$6.41,18.56
2023-12-31,108.23,$5.75,18.82
2023-09-30,94.14,$4.84,19.45
2023-06-30,82.42,$4.48,18.4
2023-03-31,89.76,$4.78,18.78
2022-12-31,73.11,$5.23,13.98
2022-09-30,63.13,$4.11,15.36
2022-06-30,67.22,$4.09,16.44
2021-12-31,95.45,$4.97,19.21
2021-09-30,78.6,$5.81,13.53
2021-06-30,89.0,$6.07,14.66
2021-03-31,83.99,$6.00,14.0
2020-12-31,83.36,$2.21,37.72
2022-03-31,71.2,$0.92,77.39
2020-09-30,65.96,$1.76,37.48
2020-06-30,58.39,$1.62,36.04
2020-03-31,41.64,$4.87,8.55
2019-12-31,75.79,$5.28,14.35
2019-09-30,70.28,$2.46,28.57
2019-06-30,62.22,$2.82,22.06
2019-03-31,64.29,$2.00,32.15
2018-12-31,60.93,$2.18,27.95
2018-09-30,74.65,$3.94,18.95
2018-06-30,86.22,$3.64,23.69
2018-03-31,87.49,$4.68,18.7
2017-12-31,75.87,$4.85,15.64
2017-09-30,73.44,$5.80,12.66
2017-06-30,64.87,$6.32,10.26
2017-03-31,60.06,$6.53,9.2
2016-12-31,66.1,$6.42,10.3
2016-09-30,62.02,$6.85,9.05
2016-06-30,62.06,$6.41,9.68
2016-03-31,68.11,$6.28,10.84
2015-12-31,71.34,$5.17,13.8
2015-09-30,62.05,$4.72,13.15
2015-06-30,66.1,$4.76,13.89
2015-03-31,66.38,$4.10,16.19
2014-12-31,59.53,$4.74,12.56
2014-09-30,51.28,$4.38,11.71
2014-06-30,59.14,$4.66,12.69
2013-12-31,50.41,$5.06,9.96
2013-09-30,47.72,$5.47,8.72
2013-06-30,42.0,$5.56,7.55
2013-03-31,37.29,$5.35,6.97
2012-12-31,36.09,$5.39,6.69
2014-03-31,55.4,$5.01,11.06
2012-09-30,32.89,$5.33,6.17
2012-06-30,28.79,$5.58,5.16
2012-03-31,35.03,$5.79,6.05
2011-12-31,27.75,$6.65,4.17
2011-09-30,24.96,$6.84,3.65
2011-06-30,40.03,$6.87,5.83
2011-03-31,37.67,$6.93,5.44
2010-12-31,39.86,$6.39,6.24
2010-09-30,32.83,$5.18,6.34
2010-06-30,23.92,$4.04,5.92
2010-03-31,25.76,$2.20,11.71
2009-12-31,21.68,$-0.09,0.0
