Appian PE Ratio Historical Data,Appian PE Ratio Historical Data,Appian PE Ratio Historical Data,Appian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.81,,0.0
2024-06-30,30.86,$-1.49,0.0
2024-03-31,39.95,$-1.47,0.0
2023-12-31,37.66,$-1.53,0.0
2023-09-30,45.61,$-1.86,0.0
2023-06-30,47.6,$-2.17,0.0
2023-03-31,44.38,$-2.27,0.0
2022-12-31,32.56,$-2.08,0.0
2022-09-30,40.83,$-1.97,0.0
2022-06-30,47.36,$-1.72,0.0
2022-03-31,60.82,$-1.38,0.0
2021-12-31,65.21,$-1.25,0.0
2021-09-30,92.51,$-0.98,0.0
2021-06-30,137.75,$-0.67,0.0
2021-03-31,132.95,$-0.50,0.0
2020-12-31,162.09,$-0.48,0.0
2020-09-30,64.75,$-0.55,0.0
2020-06-30,51.25,$-0.69,0.0
2020-03-31,40.23,$-0.67,0.0
2019-12-31,38.21,$-0.77,0.0
2019-09-30,47.5,$-0.83,0.0
2019-06-30,36.07,$-0.88,0.0
2019-03-31,34.43,$-0.91,0.0
2018-12-31,26.71,$-0.80,0.0
2018-09-30,33.1,$-0.69,0.0
2018-06-30,36.16,$-0.55,0.0
2018-03-31,25.18,$-0.71,0.0
