"AVANOS MEDICAL, INC PE Ratio Historical Data","AVANOS MEDICAL, INC PE Ratio Historical Data","AVANOS MEDICAL, INC PE Ratio Historical Data","AVANOS MEDICAL, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,23.61,,0.0
2024-06-30,19.92,$-1.27,0.0
2023-12-31,22.43,$-1.32,0.0
2023-09-30,20.22,$-1.19,0.0
2023-06-30,25.56,$-1.13,0.0
2023-03-31,29.74,$0.66,45.06
2022-12-31,27.06,$0.91,29.74
2024-03-31,19.91,$0.67,29.72
2022-09-30,21.78,$0.90,24.2
2022-06-30,27.34,$-0.16,0.0
2022-03-31,33.5,$0.38,88.16
2021-12-31,34.67,$0.10,346.7
2021-09-30,31.2,$-1.10,0.0
2021-06-30,36.37,$0.03,1212.33
2021-03-31,43.74,$-0.81,0.0
2020-12-31,45.88,$-0.57,0.0
2020-09-30,33.22,$0.29,114.55
2020-06-30,29.39,$-0.35,0.0
2020-03-31,26.93,$-0.46,0.0
2019-12-31,33.7,$-0.97,0.0
2019-09-30,37.46,$-0.89,0.0
2019-06-30,43.61,$-0.56,0.0
2019-03-31,42.68,$0.34,125.53
