American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data,American Express PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,258.65,,19.3
2024-06-30,230.86,$13.40,17.23
2024-03-31,226.29,$12.14,18.64
2023-12-31,185.6,$11.21,16.56
2023-09-30,147.2,$10.66,13.81
2023-06-30,170.68,$9.83,17.36
2023-03-31,161.02,$9.51,16.93
2022-12-31,143.72,$9.84,14.61
2022-09-30,130.75,$9.95,13.14
2022-06-30,134.34,$9.75,13.78
2022-03-31,180.04,$9.98,18.04
2021-12-31,157.12,$9.99,15.73
2021-09-30,160.5,$9.57,16.77
2021-06-30,157.89,$8.60,18.36
2021-03-31,135.15,$6.09,22.19
2020-12-31,114.78,$3.76,30.53
2020-09-30,94.78,$4.03,23.52
2020-06-30,89.6,$4.81,18.63
2020-03-31,80.12,$6.59,12.16
2019-12-31,116.12,$7.98,14.55
2019-09-30,109.9,$8.27,13.29
2019-06-30,114.34,$8.07,14.17
2019-03-31,100.89,$7.84,12.87
2018-12-31,87.62,$7.90,11.09
2018-09-30,97.53,$4.17,23.39
2018-06-30,89.44,$3.79,23.6
2018-03-31,84.82,$3.42,24.8
2017-12-31,89.99,$2.90,31.03
2017-09-30,81.65,$5.19,15.73
2017-06-30,75.75,$4.89,15.49
2017-03-31,70.85,$5.52,12.84
2016-12-31,66.07,$5.63,11.73
2016-09-30,56.83,$5.64,10.08
2016-06-30,53.92,$5.68,9.49
2016-03-31,53.96,$5.00,10.79
2015-12-31,60.85,$5.03,12.1
2015-09-30,64.62,$5.53,11.68
2015-06-30,67.75,$5.69,11.91
2015-03-31,67.84,$5.70,11.9
2014-12-31,80.3,$5.55,14.47
2014-09-30,75.32,$5.37,14.03
2014-06-30,81.41,$5.22,15.6
2014-03-31,77.06,$5.06,15.23
2013-12-31,77.46,$4.88,15.87
2013-09-30,64.28,$4.23,15.2
2013-06-30,63.43,$4.07,15.59
2013-03-31,57.07,$3.95,14.45
2012-12-31,48.46,$3.87,12.52
2012-09-30,47.77,$4.32,11.06
2012-06-30,48.74,$4.26,11.44
2012-03-31,48.28,$4.21,11.47
2011-12-31,39.22,$4.11,9.54
2011-09-30,37.17,$3.98,9.34
2011-06-30,42.8,$3.85,11.12
2011-03-31,37.15,$3.59,10.35
2010-12-31,35.13,$3.35,10.49
2010-09-30,34.24,$3.07,11.15
2010-06-30,32.34,$2.70,11.98
2010-03-31,33.46,$1.95,17.16
2009-12-31,32.58,$1.53,21.29
