Brandywine Realty Trust PE Ratio Historical Data,Brandywine Realty Trust PE Ratio Historical Data,Brandywine Realty Trust PE Ratio Historical Data,Brandywine Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,6.38,,0.0
2024-06-30,4.22,$-0.97,0.0
2024-03-31,4.37,$-1.22,0.0
2023-12-31,4.78,$-1.15,0.0
2023-09-30,3.87,$-0.07,0.0
2023-06-30,3.8,$0.14,27.16
2023-03-31,3.7,$0.25,14.82
2022-12-31,4.67,$0.31,15.08
2022-09-30,4.98,$0.17,29.31
2022-06-30,6.98,$0.10,69.79
2022-03-31,10.09,$0.07,144.16
2021-12-31,9.45,$0.08,118.15
2021-09-30,9.32,$0.16,58.26
2021-06-30,9.39,$1.75,5.37
2021-03-31,8.72,$1.77,4.92
2020-12-31,7.91,$1.77,4.47
2020-09-30,6.75,$1.75,3.85
2020-06-30,6.97,$0.19,36.71
2020-03-31,6.61,$0.21,31.47
2019-12-31,9.77,$0.19,51.44
2019-09-30,9.28,$0.78,11.9
2019-06-30,8.66,$0.50,17.32
2019-03-31,9.48,$0.53,17.88
2018-12-31,7.58,$0.76,9.98
2018-09-30,9.15,$0.49,18.68
2018-06-30,9.73,$0.84,11.58
2018-03-31,9.04,$0.79,11.45
2017-12-31,10.25,$0.65,15.78
2017-09-30,9.77,$0.16,61.07
2017-06-30,9.7,$0.08,121.29
2017-03-31,8.9,$0.04,222.39
2016-12-31,8.96,$0.18,49.78
2016-09-30,8.39,$-0.11,0.0
2016-06-30,8.94,$-0.04,0.0
2016-03-31,7.46,$-0.01,0.0
2015-12-31,7.11,$-0.22,0.0
2015-09-30,6.34,$0.13,48.73
2015-06-30,6.75,$0.07,96.48
2015-03-31,8.05,$0.06,134.16
2014-12-31,7.97,$-0.01,0.0
2014-09-30,6.95,$0.13,53.44
2014-06-30,7.63,$0.15,50.85
2014-03-31,7.0,$0.18,38.87
2013-12-31,6.74,$0.22,30.66
2013-09-30,6.24,$-0.11,0.0
2013-06-30,6.33,$-0.07,0.0
2013-03-31,6.88,$-0.09,0.0
2012-12-31,5.58,$-0.05,0.0
2012-09-30,5.51,$0.11,50.11
2012-06-30,5.51,$0.04,137.79
2012-03-31,5.06,$-0.03,0.0
2011-12-31,4.12,$-0.10,0.0
2011-09-30,3.4,$-0.10,0.0
2011-06-30,4.86,$-0.19,0.0
2011-03-31,5.03,$-0.19,0.0
2010-12-31,4.77,$-0.19,0.0
2010-09-30,4.95,$-0.19,0.0
2010-06-30,4.29,$-0.09,0.0
2010-03-31,4.87,$0.00,0.0
2009-12-31,4.43,$-0.01,0.0
