Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data,Berkshire Hills Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.34,,54.5
2024-06-30,22.65,$0.52,43.56
2024-03-31,22.58,$0.50,45.16
2023-12-31,24.26,$1.60,15.16
2023-09-30,19.43,$2.32,8.37
2023-06-30,19.92,$2.29,8.7
2023-03-31,23.88,$2.24,10.66
2022-12-31,28.32,$2.03,13.95
2022-09-30,25.7,$1.76,14.61
2022-06-30,23.23,$2.65,8.77
2022-03-31,27.04,$2.58,10.48
2021-12-31,26.43,$2.42,10.92
2021-09-30,24.97,$2.30,10.86
2021-06-30,25.25,$1.41,17.91
2021-03-31,20.47,$-9.95,0.0
2020-12-31,15.62,$-10.61,0.0
2020-09-30,9.16,$-10.40,0.0
2020-06-30,9.86,$-10.38,0.0
2020-03-31,12.99,$1.07,12.14
2019-12-31,28.51,$1.98,14.4
2019-09-30,25.21,$1.78,14.17
2019-06-30,26.81,$2.04,13.14
2019-03-31,23.27,$2.26,10.3
2018-12-31,22.86,$2.30,9.94
2018-09-30,34.27,$1.93,17.76
2018-06-30,34.01,$1.80,18.89
2018-03-31,31.61,$1.59,19.88
2017-12-31,30.31,$1.48,20.48
2017-09-30,31.9,$1.86,17.15
2017-06-30,28.77,$1.82,15.81
2017-03-31,29.34,$1.81,16.21
2016-12-31,29.82,$1.89,15.78
2016-09-30,22.27,$2.09,10.66
2016-06-30,21.47,$2.05,10.47
2016-03-31,21.29,$1.88,11.32
2015-12-31,22.87,$1.71,13.37
2015-09-30,21.5,$1.65,13.03
2015-06-30,22.09,$1.64,13.47
2015-03-31,21.34,$1.75,12.19
2014-12-31,20.39,$1.36,14.99
2014-09-30,17.83,$1.32,13.51
2014-06-30,17.5,$1.17,14.96
2014-03-31,19.35,$1.19,16.26
2013-12-31,20.24,$1.65,12.27
2013-09-30,18.51,$1.61,11.5
2013-06-30,20.32,$1.74,11.68
2013-03-31,18.57,$1.63,11.39
2012-12-31,17.22,$1.49,11.56
2012-09-30,16.39,$1.51,10.85
2012-06-30,15.64,$1.27,12.31
2012-03-31,16.17,$1.01,16.01
2011-12-31,15.54,$0.93,16.71
2011-09-30,12.82,$0.79,16.23
2011-06-30,15.43,$0.82,18.81
2011-03-31,14.25,$0.96,14.84
2010-12-31,15.01,$1.00,15.01
2010-09-30,12.77,$-1.01,0.0
2010-06-30,13.02,$-1.12,0.0
2010-03-31,12.15,$-1.45,0.0
2009-12-31,13.59,$-1.42,0.0
