Concentrix PE Ratio Historical Data,Concentrix PE Ratio Historical Data,Concentrix PE Ratio Historical Data,Concentrix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,50.32,,16.34
2024-08-31,75.23,$3.08,24.43
2024-05-31,61.33,$4.32,14.2
2024-02-29,72.45,$4.85,14.94
2023-11-30,93.99,$5.77,16.29
2023-08-31,79.83,$6.69,11.93
2023-05-31,87.7,$7.24,12.11
2023-02-28,136.84,$7.87,17.39
2022-11-30,122.38,$8.28,14.78
2022-08-31,125.78,$8.62,14.59
2022-05-31,154.6,$8.66,17.85
2022-02-28,199.21,$8.09,24.62
2021-11-30,165.2,$7.69,21.48
