Digi PE Ratio Historical Data,Digi PE Ratio Historical Data,Digi PE Ratio Historical Data,Digi PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.75,,66.85
2024-06-30,22.93,$0.46,49.85
2024-03-31,31.93,$0.38,84.03
2023-12-31,26.0,$0.43,60.47
2023-09-30,27.0,$0.67,40.3
2023-06-30,39.39,$0.81,48.63
2023-03-31,33.68,$0.75,44.91
2022-12-31,36.55,$0.67,54.55
2022-09-30,34.57,$0.54,64.02
2022-06-30,24.22,$0.36,67.28
2022-03-31,21.52,$0.33,65.21
2021-12-31,24.57,$0.34,72.26
2021-09-30,21.02,$0.30,70.07
2021-06-30,20.11,$0.32,62.84
2021-03-31,18.99,$0.29,65.48
2020-12-31,18.9,$0.27,70.0
2020-09-30,15.63,$0.29,53.9
2020-06-30,11.65,$0.22,52.95
2020-03-31,9.54,$0.22,43.36
2019-12-31,17.72,$0.20,88.6
2019-09-30,13.62,$0.36,37.83
2019-06-30,12.68,$0.41,30.93
2019-03-31,12.67,$0.44,28.8
2018-12-31,10.09,$0.22,45.86
2018-09-30,13.45,$0.21,64.05
2018-06-30,13.2,$0.13,101.54
2017-12-31,9.55,$0.09,106.11
2017-09-30,10.6,$0.35,30.29
2017-06-30,10.15,$0.33,30.76
2017-03-31,11.9,$0.27,44.07
2016-12-31,13.75,$0.38,36.18
2016-09-30,11.4,$0.37,30.81
2018-03-31,10.3,$0.48,21.46
2016-06-30,10.73,$0.61,17.59
2016-03-31,9.43,$0.55,17.15
2015-12-31,11.38,$0.46,24.74
2015-09-30,11.79,$0.23,51.26
2015-06-30,9.55,$0.11,86.82
2014-12-31,9.29,$0.04,232.25
2014-09-30,7.5,$0.08,93.75
2014-06-30,9.42,$0.14,67.29
2014-03-31,10.15,$0.20,50.75
2013-12-31,12.12,$0.23,52.7
2013-09-30,9.99,$0.24,41.63
2015-03-31,9.98,$0.21,47.52
2013-06-30,9.37,$0.24,39.04
2013-03-31,8.93,$0.27,33.07
2012-12-31,9.47,$0.31,30.55
2012-09-30,10.16,$0.29,35.03
2012-06-30,10.24,$0.31,33.03
2012-03-31,10.99,$0.36,30.53
2011-12-31,11.16,$0.37,30.16
2011-09-30,11.0,$0.43,25.58
2011-06-30,13.0,$0.41,31.71
2011-03-31,10.56,$0.42,25.14
2010-12-31,11.1,$0.40,27.75
2010-09-30,9.49,$0.36,26.36
2010-06-30,8.27,$0.31,26.68
2010-03-31,10.64,$0.22,48.36
2009-12-31,9.12,$0.18,50.67
