HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data,HF Sinclair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.32,,7.09
2024-06-30,52.78,$6.25,8.45
2024-03-31,59.22,$8.08,7.33
2023-12-31,54.04,$8.30,6.51
2023-09-30,54.91,$11.56,4.75
2023-06-30,42.69,$11.78,3.62
2023-03-31,45.79,$14.59,3.14
2022-12-31,48.69,$13.70,3.55
2022-09-30,50.21,$10.54,4.76
2022-06-30,41.79,$7.80,5.36
2022-03-31,36.56,$3.40,10.75
2021-12-31,30.08,$3.40,8.85
2021-09-30,30.4,$2.91,10.45
2021-06-30,30.19,$1.19,25.37
2021-03-31,32.83,$-0.93,0.0
2020-12-31,23.5,$-3.71,0.0
2020-09-30,17.64,$-2.61,0.0
2020-06-30,25.79,$-1.02,0.0
2020-03-31,21.4,$1.22,17.54
2019-12-31,43.91,$4.57,9.61
2019-09-30,46.14,$5.01,9.21
2019-06-30,39.53,$5.36,7.37
2019-03-31,41.76,$6.15,6.79
2018-12-31,43.06,$6.18,6.97
2018-09-30,58.55,$8.29,7.06
2018-06-30,57.06,$7.89,7.23
2018-03-31,40.56,$6.28,6.46
2017-12-31,42.2,$4.52,9.34
2017-09-30,29.42,$1.90,15.48
2017-06-30,22.2,$0.79,28.1
2017-03-31,22.62,$-1.87,0.0
2016-12-31,25.85,$-1.49,0.0
2016-09-30,19.11,$-2.03,0.0
2016-06-30,18.32,$-1.41,0.0
2016-03-31,26.9,$2.80,9.61
2015-12-31,30.08,$3.84,7.83
2015-09-30,36.58,$2.95,12.4
2015-06-30,31.75,$2.79,11.38
2015-03-31,29.71,$1.80,16.5
2014-12-31,27.43,$1.40,19.59
2014-09-30,31.36,$2.84,11.04
2014-06-30,30.86,$2.37,13.02
2014-03-31,33.05,$2.76,11.98
2013-12-31,33.93,$3.63,9.35
2013-09-30,28.27,$5.24,5.39
2013-06-30,28.22,$7.77,3.63
2013-03-31,33.38,$8.88,3.76
2012-12-31,29.76,$8.41,3.54
2012-09-30,25.95,$7.55,3.44
2012-06-30,21.65,$7.09,3.05
2012-03-31,19.24,$6.49,2.96
2011-12-31,13.76,$6.12,2.25
2011-09-30,15.0,$5.20,2.89
2011-06-30,19.52,$3.20,6.11
2011-03-31,17.05,$2.03,8.42
2010-12-31,11.41,$0.97,11.76
2010-09-30,8.01,$0.44,18.21
2010-06-30,7.37,$0.20,37.78
2010-03-31,7.69,$-0.28,0.0
2009-12-31,7.03,$0.21,34.28
