PPDAI Group PE Ratio Historical Data,PPDAI Group PE Ratio Historical Data,PPDAI Group PE Ratio Historical Data,PPDAI Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.74,,5.22
2024-06-30,4.77,$1.10,4.34
2024-03-31,4.8,$1.09,4.41
2023-12-31,4.67,$1.17,3.99
2023-09-30,4.75,$1.18,4.02
2023-06-30,4.38,$1.19,3.68
2023-03-31,3.76,$1.22,3.08
2022-12-31,4.47,$1.16,3.86
2022-09-30,3.86,$1.23,3.14
2022-06-30,4.28,$1.27,3.37
2022-03-31,3.4,$1.30,2.61
2021-12-31,4.22,$1.32,3.2
2021-09-30,4.83,$1.23,3.93
2021-06-30,8.15,$1.20,6.79
2021-03-31,5.85,$1.08,5.42
2020-12-31,2.23,$0.96,2.32
2020-09-30,1.54,$0.89,1.73
2020-06-30,1.51,$0.85,1.78
2020-03-31,1.39,$0.95,1.46
2019-12-31,2.06,$1.10,1.88
2019-09-30,2.26,$1.21,1.87
2019-06-30,3.39,$1.23,2.75
2019-03-31,2.81,$1.14,2.47
