GFL Environmental PE Ratio Historical Data,GFL Environmental PE Ratio Historical Data,GFL Environmental PE Ratio Historical Data,GFL Environmental PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.73,,0.0
2024-06-30,38.9,$-1.50,0.0
2024-03-31,34.46,0,0.0
2023-12-31,34.46,$-0.10,0.0
2023-09-30,31.7,$-0.44,0.0
2023-06-30,38.71,$-0.86,0.0
2023-03-31,34.35,$-1.31,0.0
2022-12-31,29.14,$-0.80,0.0
2022-09-30,25.2,$-0.51,0.0
2022-06-30,25.7,$-0.65,0.0
2022-03-31,32.4,$-0.72,0.0
2021-12-31,37.67,$-1.26,0.0
2021-09-30,36.96,$-2.13,0.0
2021-06-30,31.75,$-1.81,0.0
2021-03-31,34.75,$-2.06,0.0
2020-12-31,29.0,$-2.11,0.0
