Granite Construction PE Ratio Historical Data,Granite Construction PE Ratio Historical Data,Granite Construction PE Ratio Historical Data,Granite Construction PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.85,,47.04
2024-06-30,61.87,$1.74,35.56
2024-03-31,56.92,$0.59,96.47
2023-12-31,50.56,$0.76,66.52
2023-09-30,37.7,$0.67,56.26
2023-06-30,39.31,$0.98,40.11
2023-03-31,40.46,$1.76,22.99
2022-12-31,34.43,$2.00,17.22
2022-09-30,24.84,$1.26,19.71
2022-06-30,28.36,$0.55,51.57
2022-03-31,31.78,$1.30,24.45
2021-12-31,37.35,$0.14,266.77
2021-09-30,38.04,$0.59,64.47
2021-06-30,39.82,$-2.14,0.0
2021-03-31,38.47,$-3.21,0.0
2020-12-31,25.44,$-3.20,0.0
2020-09-30,16.69,$-2.27,0.0
2020-06-30,18.01,$0.16,112.58
2020-03-31,14.19,$-2.00,0.0
2019-12-31,25.62,$-1.30,0.0
2019-09-30,29.61,$-2.26,0.0
2019-06-30,44.22,$-1.52,0.0
2019-03-31,39.49,$0.37,106.74
2018-12-31,36.76,$0.82,44.82
2018-09-30,41.57,$1.49,27.9
2018-06-30,50.48,$1.46,34.58
2018-03-31,50.54,$2.01,25.14
2017-12-31,57.25,$1.70,33.68
2017-09-30,52.2,$1.29,40.47
2017-06-30,43.36,$1.07,40.52
2017-03-31,44.99,$1.07,42.05
2016-12-31,49.17,$1.39,35.37
2016-09-30,44.36,$1.71,25.94
2016-06-30,40.52,$1.56,25.97
2016-03-31,42.39,$1.45,29.23
2015-12-31,37.95,$1.51,25.13
2015-09-30,26.16,$1.22,21.44
2015-06-30,31.17,$0.83,37.56
2015-03-31,30.74,$0.93,33.05
2014-12-31,33.13,$0.62,53.44
2014-09-30,27.63,$-0.55,0.0
2014-06-30,31.12,$-0.65,0.0
2014-03-31,34.41,$-0.92,0.0
2013-12-31,30.05,$-0.96,0.0
2013-09-30,26.19,$0.24,109.12
2013-06-30,25.36,$0.90,28.18
2013-03-31,27.02,$0.88,30.7
2012-12-31,28.41,$1.14,24.92
2012-09-30,24.17,$1.16,20.84
2012-06-30,21.88,$1.15,19.02
2012-03-31,23.95,$1.23,19.48
2011-12-31,19.68,$1.30,15.14
2011-09-30,15.49,$-0.50,0.0
2011-06-30,20.1,$-0.44,0.0
2011-03-31,22.91,$-0.75,0.0
2010-12-31,22.26,$-1.60,0.0
2010-09-30,18.36,$0.14,131.18
2010-06-30,18.93,$-0.06,0.0
2010-03-31,24.14,$0.58,41.62
2009-12-31,26.78,$1.90,14.09
