Harrow PE Ratio Historical Data,Harrow PE Ratio Historical Data,Harrow PE Ratio Historical Data,Harrow PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,56.41,,0.0
2024-06-30,20.89,$-0.95,0.0
2024-03-31,13.23,$-0.91,0.0
2023-12-31,11.2,$-0.75,0.0
2023-09-30,14.37,$-0.45,0.0
2023-06-30,19.04,$-0.56,0.0
2023-03-31,21.16,$-0.65,0.0
2022-12-31,14.76,$-0.52,0.0
2022-09-30,12.07,$-0.83,0.0
2022-06-30,7.28,$-0.90,0.0
2022-03-31,6.82,$-0.78,0.0
2021-12-31,8.64,$-0.68,0.0
2021-09-30,9.09,$-0.37,0.0
2021-06-30,9.29,$0.27,34.41
2021-03-31,6.75,$0.37,18.24
2020-12-31,6.86,$-0.14,0.0
2020-09-30,5.59,$-0.08,0.0
2020-06-30,5.21,$-0.86,0.0
2020-03-31,3.82,$-0.94,0.0
2019-12-31,7.78,$-0.01,0.0
2019-09-30,5.62,$0.66,8.52
2019-06-30,8.7,$0.99,8.79
2019-03-31,4.98,$1.20,4.15
2018-12-31,5.69,$0.60,9.48
2018-09-30,2.78,$-0.30,0.0
2018-06-30,2.2,$-0.46,0.0
2018-03-31,1.76,$-0.52,0.0
2017-12-31,1.7,$-0.61,0.0
2017-09-30,1.61,$-0.92,0.0
2017-06-30,3.2,$-0.93,0.0
2017-03-31,4.17,$-1.34,0.0
2016-12-31,2.5,$-1.51,0.0
2016-09-30,3.81,$-1.60,0.0
2016-06-30,3.76,$-1.72,0.0
2016-03-31,3.97,$-1.76,0.0
2015-12-31,6.93,$-1.66,0.0
2015-09-30,6.42,$-1.43,0.0
2015-06-30,8.13,$-1.29,0.0
2015-03-31,7.99,$-1.18,0.0
2014-12-31,7.5,$-1.11,0.0
2014-09-30,7.42,$-1.02,0.0
2014-06-30,6.94,$-0.98,0.0
2014-03-31,6.71,$-0.95,0.0
2013-12-31,3.36,$-0.88,0.0
2013-09-30,4.5,$-0.67,0.0
2013-06-30,8.48,$-0.44,0.0
2013-03-31,5.9,$-0.19,0.0
2012-12-31,9.75,0,0.0
2012-09-30,9.5,0,0.0
2012-06-30,3.0,$-2.00,0.0
2012-03-31,4.5,$-3.20,0.0
2011-12-31,4.8,$-5.60,0.0
2010-09-30,36.0,$-5.60,0.0
2010-06-30,46.0,$-3.60,0.0
2010-03-31,40.0,$-2.40,0.0
2009-12-31,60.0,0,0.0
