IRhythm Technologies PE Ratio Historical Data,IRhythm Technologies PE Ratio Historical Data,IRhythm Technologies PE Ratio Historical Data,IRhythm Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,62.49,,0.0
2024-06-30,107.64,$-4.27,0.0
2024-03-31,116.0,$-4.23,0.0
2023-12-31,107.04,$-4.05,0.0
2023-09-30,94.26,$-3.46,0.0
2023-06-30,104.32,$-3.28,0.0
2023-03-31,124.03,$-3.47,0.0
2022-12-31,93.67,$-3.89,0.0
2022-09-30,125.28,$-4.32,0.0
2022-06-30,108.03,$-4.42,0.0
2022-03-31,157.47,$-4.21,0.0
2021-12-31,117.69,$-3.45,0.0
2021-09-30,58.56,$-2.68,0.0
2021-06-30,66.35,$-2.04,0.0
2021-03-31,138.86,$-2.20,0.0
2020-12-31,237.21,$-1.59,0.0
2020-09-30,238.11,$-1.91,0.0
2020-06-30,115.89,$-2.48,0.0
2020-03-31,81.35,$-2.19,0.0
2019-12-31,68.09,$-2.18,0.0
2019-09-30,74.11,$-2.14,0.0
2019-06-30,79.08,$-1.83,0.0
2019-03-31,74.96,$-1.88,0.0
2018-12-31,69.48,$-2.02,0.0
2018-09-30,94.66,$-1.89,0.0
2018-06-30,81.13,$-1.75,0.0
2018-03-31,62.95,$-1.53,0.0
2017-12-31,56.05,$-1.30,0.0
2017-09-30,51.88,$-1.19,0.0
