Integer Holdings PE Ratio Historical Data,Integer Holdings PE Ratio Historical Data,Integer Holdings PE Ratio Historical Data,Integer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,130.42,,42.62
2024-06-30,115.79,$3.06,37.84
2024-03-31,116.68,$2.89,40.37
2023-12-31,99.08,$2.69,36.83
2023-09-30,78.43,$2.45,32.01
2023-06-30,88.61,$2.12,41.8
2023-03-31,77.5,$2.03,38.18
2022-12-31,68.46,$1.98,34.58
2022-09-30,62.23,$2.15,28.94
2022-06-30,70.66,$2.33,30.33
2022-03-31,80.57,$2.60,30.99
2021-12-31,85.59,$2.91,29.41
2021-09-30,89.34,$2.67,33.46
2021-06-30,94.2,$2.93,32.15
2021-03-31,92.1,$2.05,44.93
2020-12-31,81.19,$2.34,34.7
2020-09-30,59.01,$2.20,26.82
2020-06-30,73.05,$2.20,33.2
2020-03-31,62.86,$3.19,19.71
2019-12-31,80.43,$2.91,27.64
2019-09-30,75.56,$3.36,22.49
2019-06-30,83.92,$5.98,14.03
2019-03-31,75.42,$5.59,13.49
2018-12-31,76.26,$6.61,11.54
2018-09-30,82.95,$6.26,13.25
2018-06-30,64.65,$2.81,23.01
2017-12-31,45.3,$2.06,21.99
2017-09-30,51.15,$0.63,81.19
2017-06-30,43.25,$0.45,96.11
2017-03-31,40.2,$0.73,55.07
2016-12-31,29.45,$0.84,35.06
2018-03-31,56.55,$0.18,314.17
2016-09-30,21.69,$-0.92,0.0
2016-06-30,30.93,$-1.29,0.0
2016-03-31,35.64,$-0.91,0.0
2015-12-31,47.92,$-0.19,0.0
2015-09-30,51.5,$1.20,42.91
2015-06-30,49.22,$1.74,28.28
2015-03-31,52.8,$1.87,28.24
2014-12-31,45.0,$2.14,21.03
2014-09-30,38.89,$1.98,19.64
2014-06-30,44.78,$1.88,23.82
2014-03-31,41.91,$1.79,23.42
2013-12-31,40.38,$1.44,28.04
2013-09-30,31.06,$0.83,37.42
2013-06-30,29.93,$0.07,427.56
2013-03-31,27.26,$-0.16,0.0
2012-12-31,21.21,$-0.20,0.0
2012-09-30,22.21,$0.27,82.25
2012-06-30,20.73,$0.89,23.29
2012-03-31,22.38,$1.09,20.53
2011-12-31,20.17,$1.41,14.31
2011-09-30,18.26,$1.76,10.38
2011-06-30,24.48,$1.71,14.32
2011-03-31,24.15,$1.68,14.38
2010-12-31,22.04,$1.10,20.04
2010-09-30,21.17,$-0.39,0.0
2010-06-30,20.36,$-0.36,0.0
2009-12-31,17.55,$-0.41,0.0
2009-09-30,20.51,$-0.10,0.0
