Kilroy Realty PE Ratio Historical Data,Kilroy Realty PE Ratio Historical Data,Kilroy Realty PE Ratio Historical Data,Kilroy Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.78,,25.46
2024-06-30,30.74,$1.68,18.3
2024-03-31,35.32,$1.74,20.3
2023-12-31,38.05,$1.80,21.14
2023-09-30,29.8,$1.85,16.11
2023-06-30,27.89,$2.08,13.41
2023-03-31,29.5,$2.01,14.68
2022-12-31,34.62,$1.98,17.49
2022-09-30,37.18,$1.93,19.27
2022-06-30,45.61,$1.65,27.64
2022-03-31,65.96,$1.55,42.55
2021-12-31,56.98,$5.36,10.63
2021-09-30,56.33,$5.63,10.0
2021-06-30,58.79,$5.65,10.41
2021-03-31,55.01,$5.52,9.97
2020-12-31,47.76,$1.93,24.75
2020-09-30,42.85,$1.67,25.66
2020-06-30,47.95,$1.66,28.89
2019-12-31,67.46,$1.85,36.46
2019-09-30,62.26,$2.76,22.56
2019-06-30,58.64,$2.68,21.88
2019-03-31,59.94,$2.54,23.6
2018-12-31,49.33,$2.54,19.42
2018-09-30,55.83,$1.24,45.02
2018-06-30,58.53,$1.58,37.04
2018-03-31,54.58,$1.61,33.9
2017-12-31,57.08,$1.51,37.8
2017-09-30,54.07,$1.52,35.57
2017-06-30,56.79,$1.39,40.85
2017-03-31,54.16,$1.40,38.69
2016-12-31,54.73,$2.98,18.37
2016-09-30,50.22,$2.96,16.97
2016-06-30,47.75,$2.79,17.11
2016-03-31,44.3,$3.57,12.41
2015-12-31,45.06,$2.34,19.25
2020-03-31,51.61,$2.52,20.48
2015-09-30,46.14,$2.47,18.68
2015-06-30,47.29,$1.56,30.32
2015-03-31,53.37,$1.27,42.03
2014-12-31,48.18,$1.96,24.58
2014-09-30,41.25,$1.87,22.06
2014-06-30,42.97,$1.76,24.42
2014-03-31,40.19,$1.52,26.44
2013-12-31,34.22,$0.36,95.06
2013-09-30,33.83,$2.58,13.11
2013-06-30,35.65,$2.47,14.43
2013-03-31,35.01,$2.37,14.77
2012-12-31,31.44,$3.45,9.11
2012-09-30,29.5,$1.68,17.56
2012-06-30,31.64,$1.89,16.74
2012-03-31,30.24,$1.90,15.92
2011-12-31,24.51,$0.85,28.84
2011-09-30,19.97,$0.19,105.09
2011-06-30,24.91,$0.01,2491.34
2011-03-31,24.28,$-0.02,0.0
2010-12-31,22.59,$0.08,282.43
2010-09-30,20.34,$-0.02,0.0
2010-06-30,18.05,$0.18,100.28
2010-03-31,18.52,$0.47,39.4
2009-12-31,18.21,$0.59,30.86
