Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data,Lindsay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,118.36,,17.96
2024-05-31,114.48,$6.59,17.37
2024-02-29,118.6,$6.27,18.92
2023-11-30,118.28,$6.26,18.89
2023-08-31,122.68,$6.55,18.73
2023-05-31,116.12,$6.43,18.06
2023-02-28,147.91,$7.18,20.6
2022-11-30,173.1,$6.87,25.2
2022-08-31,156.96,$5.94,26.42
2022-05-31,123.07,$4.85,25.38
2022-02-28,127.83,$4.18,30.58
2021-11-30,141.41,$3.94,35.89
2021-08-31,159.76,$3.87,41.28
2021-05-31,159.34,$4.69,33.97
2021-02-28,154.79,$4.01,38.6
2020-11-30,111.65,$3.44,32.46
2020-08-31,96.07,$3.56,26.99
2020-05-31,90.02,$2.35,38.31
2020-02-29,94.57,$1.69,55.96
2019-11-30,85.91,$0.86,99.9
2019-08-31,83.75,$0.55,152.27
2019-05-31,75.06,$1.37,54.79
2019-02-28,87.09,$1.26,69.12
2018-08-31,89.6,$1.88,47.66
2018-05-31,91.77,$2.01,45.66
2018-02-28,82.2,$1.16,70.86
2017-11-30,86.93,$2.02,43.03
2017-08-31,79.93,$2.19,36.5
2018-11-30,94.94,$1.68,56.51
2017-05-31,78.57,$2.30,34.16
2017-02-28,73.43,$2.18,33.68
2016-11-30,77.0,$1.34,57.46
2016-08-31,65.5,$1.88,34.84
2016-05-31,64.67,$0.87,74.34
2016-02-29,65.37,$1.07,61.09
2015-11-30,62.74,$2.19,28.65
2015-08-31,68.28,$2.19,31.18
2015-05-31,71.9,$3.36,21.4
2015-02-28,77.91,$3.54,22.01
2014-11-30,77.98,$3.83,20.36
2014-08-31,68.76,$4.00,17.19
2014-05-31,74.26,$3.92,18.94
2014-02-28,74.53,$4.65,16.03
2013-11-30,66.9,$5.11,13.09
2013-08-31,66.47,$5.47,12.15
2013-05-31,70.92,$5.34,13.28
2013-02-28,74.48,$4.80,15.52
2012-11-30,68.84,$4.30,16.01
2012-08-31,56.8,$3.38,16.8
2012-05-31,48.28,$3.16,15.28
2012-02-29,56.82,$2.89,19.66
2011-11-30,48.87,$2.78,17.58
2011-08-31,53.72,$2.89,18.59
2011-05-31,57.85,$2.91,19.88
2011-02-28,60.81,$2.21,27.52
2010-11-30,50.78,$1.79,28.37
2010-08-31,31.66,$1.98,15.99
2010-05-31,29.27,$1.67,17.53
2010-02-28,31.46,$1.59,19.79
2009-11-30,29.93,$1.13,26.49
