MakeMyTrip PE Ratio Historical Data,MakeMyTrip PE Ratio Historical Data,MakeMyTrip PE Ratio Historical Data,MakeMyTrip PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,102.55,,60.68
2024-06-30,84.1,$1.69,49.76
2024-03-31,71.05,$1.67,42.54
2023-12-31,46.98,$0.46,102.13
2023-09-30,40.52,$0.24,168.83
2023-06-30,26.98,$0.16,168.63
2023-03-31,24.47,$-0.10,0.0
2022-12-31,27.57,$-0.19,0.0
2022-09-30,30.7,$-0.27,0.0
2022-06-30,25.68,$-0.28,0.0
2022-03-31,26.83,$-0.41,0.0
2021-12-31,27.71,$-0.34,0.0
2021-09-30,27.19,$-0.29,0.0
2021-06-30,30.05,$-0.42,0.0
2021-03-31,31.58,$-0.52,0.0
2020-12-31,29.53,$-3.75,0.0
2020-09-30,15.36,$-4.00,0.0
2020-06-30,15.32,$-4.15,0.0
2020-03-31,11.96,$-4.24,0.0
2019-12-31,22.9,$-1.43,0.0
2019-09-30,22.69,$-1.43,0.0
2019-06-30,24.8,$-1.53,0.0
2019-03-31,27.6,$-1.62,0.0
2018-12-31,24.33,$-1.65,0.0
2018-09-30,27.45,$-1.82,0.0
2018-06-30,36.15,$-1.98,0.0
2018-03-31,34.7,$-2.18,0.0
2017-12-31,29.85,$-2.69,0.0
2017-09-30,28.75,$-1.93,0.0
2017-06-30,33.55,$-2.27,0.0
2017-03-31,34.6,$-1.91,0.0
2016-12-31,22.2,$-2.18,0.0
2016-09-30,23.6,$-2.96,0.0
2016-06-30,14.86,$-2.30,0.0
2016-03-31,18.09,$-2.12,0.0
2015-12-31,17.16,$-1.06,0.0
2015-09-30,13.75,$-0.68,0.0
2015-06-30,19.68,$-0.50,0.0
2015-03-31,21.96,$-0.43,0.0
2014-12-31,25.99,$-0.36,0.0
2014-09-30,27.83,$-0.31,0.0
2014-06-30,35.13,$-0.40,0.0
2014-03-31,27.08,$-0.55,0.0
2013-12-31,19.26,$-1.02,0.0
2013-09-30,14.84,$-1.12,0.0
2013-06-30,14.27,$-0.95,0.0
2013-03-31,13.9,$-0.73,0.0
2012-12-31,12.44,$-0.03,0.0
2012-09-30,17.03,$0.11,154.82
2012-06-30,16.43,$0.14,117.36
2012-03-31,22.97,$0.18,127.61
2011-12-31,24.04,$0.12,200.33
2011-09-30,22.08,$0.05,441.6
2011-06-30,24.5,$0.09,272.22
