MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,580.59,,38.89
2024-06-30,480.38,$14.93,32.18
2024-03-31,557.07,$14.65,38.03
2023-12-31,560.68,$14.40,38.94
2023-09-30,507.18,$12.00,42.27
2023-06-30,462.73,$11.41,40.55
2023-03-31,550.25,$10.91,50.44
2022-12-31,456.19,$10.72,42.55
2022-09-30,412.54,$10.37,39.78
2022-06-30,402.1,$9.72,41.37
2022-03-31,489.31,$9.12,53.65
2021-12-31,594.99,$8.70,68.39
2021-09-30,589.81,$8.25,71.49
2021-06-30,515.99,$8.38,61.57
2021-03-31,405.15,$7.75,52.28
2020-12-31,430.71,$7.12,60.49
2020-09-30,343.46,$6.69,51.34
2020-06-30,320.66,$6.13,52.31
2020-03-31,277.02,$6.24,44.39
2019-12-31,246.99,$6.59,37.48
2019-09-30,207.74,$6.85,30.33
2019-06-30,227.12,$6.61,34.36
2019-03-31,188.64,$6.42,29.38
2018-12-31,139.4,$5.58,24.98
2018-09-30,167.11,$4.58,36.49
2018-06-30,155.31,$4.15,37.42
2018-03-31,139.99,$3.76,37.23
2017-12-31,118.21,$3.32,35.6
2017-09-30,108.87,$3.35,32.5
2017-06-30,95.59,$3.10,30.84
2017-03-31,89.95,$2.90,31.02
2016-12-31,72.7,$2.70,26.92
2016-09-30,77.19,$2.54,30.39
2016-06-30,70.69,$2.45,28.85
2016-03-31,67.71,$2.26,29.96
2015-12-31,65.72,$2.05,32.06
2015-09-30,54.0,$1.87,28.88
2015-06-30,55.71,$1.72,32.39
2015-03-31,55.33,$2.13,25.98
2014-12-31,42.68,$2.42,17.64
2014-09-30,42.13,$2.42,17.41
2014-06-30,41.08,$2.44,16.83
2014-03-31,38.54,$2.03,18.99
2013-12-31,39.17,$1.83,21.4
2013-09-30,36.07,$1.88,19.19
2013-06-30,29.81,$1.81,16.47
2013-03-31,30.4,$1.61,18.88
2012-12-31,27.76,$1.48,18.76
2012-09-30,32.06,$1.40,22.9
2012-06-30,30.48,$1.41,21.62
2012-03-31,32.98,$1.48,22.28
2011-12-31,29.5,$1.40,21.07
2011-09-30,27.17,$1.29,21.06
2011-06-30,33.76,$0.89,37.93
2011-03-31,32.99,$0.52,63.44
2010-12-31,34.9,$0.25,139.62
2010-11-30,30.51,0,0.0
2010-08-31,26.79,0,0.0
2010-05-31,26.56,0,0.0
2010-02-28,26.86,0,0.0
2009-11-30,27.3,0,0.0
