National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data,National Storage Affiliates Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,44.72,,24.98
2024-06-30,40.74,$1.79,22.76
2024-03-31,38.18,$1.91,19.99
2023-12-31,39.83,$1.50,26.55
2023-09-30,30.06,$1.09,27.58
2023-06-30,32.47,$1.04,31.22
2023-03-31,38.33,$1.00,38.33
2022-12-31,32.71,$1.00,32.71
2022-09-30,37.12,$0.94,39.49
2022-06-30,44.19,$0.99,44.64
2022-03-31,54.73,$1.00,54.73
2021-12-31,59.84,$0.95,62.99
2021-09-30,45.33,$0.88,51.51
2021-06-30,43.11,$0.77,55.98
2021-03-31,33.79,$0.62,54.49
2020-12-31,30.23,$0.49,61.68
2020-09-30,27.16,$0.44,61.73
2020-06-30,23.57,$0.09,261.89
2020-03-31,24.08,$-0.20,0.0
2019-12-31,27.05,$-0.18,0.0
2019-09-30,26.58,$-0.47,0.0
2019-06-30,22.83,$-0.24,0.0
2019-03-31,22.25,$0.02,1112.38
2018-12-31,20.43,$0.03,681.0
2018-09-30,19.45,$0.11,176.77
2018-06-30,23.31,$0.11,211.91
2018-03-31,18.78,$0.09,208.72
2017-12-31,20.2,$0.01,0.0
2017-09-30,17.77,$0.16,111.06
2017-06-30,16.75,$0.13,128.88
2017-03-31,17.13,$0.16,107.07
2016-12-31,15.66,$0.22,71.17
2016-09-30,14.69,$0.23,63.86
2016-06-30,14.44,$0.26,55.53
2016-03-31,14.55,$0.18,80.82
