Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data,Northwest Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.81,,17.05
2024-06-30,11.38,$0.81,14.05
2024-03-31,11.26,$1.03,10.94
2023-12-31,11.87,$1.06,11.2
2023-09-30,9.54,$1.10,8.68
2023-06-30,9.73,$1.08,9.01
2023-03-31,10.83,$1.08,10.03
2022-12-31,12.42,$1.04,11.94
2022-09-30,11.84,$1.01,11.72
2022-06-30,11.06,$0.99,11.17
2022-03-31,11.49,$1.11,10.35
2021-12-31,11.87,$1.21,9.81
2021-09-30,10.97,$1.25,8.78
2021-06-30,11.1,$1.28,8.67
2021-03-31,11.59,$0.85,13.64
2020-12-31,10.07,$0.60,16.79
2020-09-30,7.14,$0.56,12.75
2020-06-30,7.79,$0.57,13.67
2020-03-31,8.65,$0.87,9.94
2019-12-31,12.28,$1.04,11.81
2019-09-30,11.98,$1.06,11.3
2019-06-30,12.74,$1.02,12.49
2019-03-31,12.15,$1.02,11.91
2018-12-31,12.0,$1.02,11.77
2018-09-30,12.14,$0.98,12.39
2018-06-30,12.08,$0.94,12.85
2018-03-31,11.39,$0.99,11.5
2017-12-31,11.39,$0.92,12.38
2017-09-30,11.64,$0.94,12.39
2017-06-30,10.42,$0.85,12.26
2017-03-31,11.13,$0.48,23.19
2016-12-31,11.81,$0.49,24.09
2016-09-30,10.19,$0.41,24.85
2016-06-30,9.52,$0.40,23.8
2016-03-31,8.58,$0.64,13.4
2015-12-31,8.4,$0.64,13.12
2015-09-30,8.07,$0.67,12.04
2015-06-30,7.87,$0.73,10.78
2015-03-31,7.19,$0.70,10.28
2014-12-31,7.52,$0.68,11.05
2014-09-30,7.18,$0.71,10.12
2014-06-30,7.97,$0.71,11.23
2014-03-31,7.91,$0.72,10.98
2013-12-31,7.88,$0.73,10.79
2013-09-30,6.98,$0.69,10.11
2013-06-30,7.07,$0.67,10.55
2013-03-31,6.51,$0.69,9.43
2012-12-31,6.23,$0.68,9.16
2012-09-30,6.15,$0.66,9.32
2012-06-30,5.83,$0.66,8.83
2012-03-31,6.26,$0.64,9.78
2011-12-31,6.07,$0.64,9.49
2011-09-30,5.76,$0.60,9.6
2011-06-30,6.03,$0.57,10.58
2011-03-31,5.96,$0.57,10.46
2010-12-31,5.55,$0.53,10.47
2010-09-30,5.22,$0.42,12.44
2010-06-30,5.31,$0.39,13.59
2010-03-31,5.39,$0.31,17.51
2009-12-31,5.13,$0.30,17.18
