Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,141.29,,38.08
2024-05-31,116.86,$3.71,31.5
2024-02-29,111.01,$3.79,29.29
2023-11-30,115.07,$3.62,31.79
2023-08-31,118.77,$3.36,35.35
2023-05-31,104.15,$3.06,34.04
2023-02-28,85.56,$3.03,28.24
2022-11-30,80.98,$3.19,25.39
2022-08-31,71.95,$2.10,34.26
2022-05-31,69.48,$2.40,28.95
2022-02-28,73.1,$2.61,28.01
2021-11-30,87.0,$3.45,25.22
2021-08-31,85.16,$4.63,18.39
2021-05-31,74.96,$4.76,15.75
2021-02-28,61.15,$4.18,14.63
2020-08-31,53.82,$3.19,16.87
2020-05-31,50.36,$3.10,16.25
2020-02-29,46.12,$3.18,14.5
2019-11-30,52.11,$3.15,16.54
2019-08-31,48.11,$3.07,15.67
2019-05-31,46.57,$3.01,15.47
2019-02-28,47.77,$2.76,17.31
2018-11-30,44.51,$1.02,43.63
2018-08-31,44.34,$0.93,47.68
2018-05-31,42.48,$1.12,37.93
2018-02-28,45.88,$0.83,55.28
2017-11-30,44.25,$2.29,19.32
2017-05-31,40.63,$2.20,18.47
2017-02-28,37.96,$2.10,18.07
2016-11-30,35.68,$2.09,17.07
2016-08-31,36.45,$2.11,17.28
2016-05-31,35.42,$2.19,16.17
2017-08-31,45.22,$1.93,23.43
2016-02-29,32.29,$2.03,15.9
2015-11-30,34.07,$2.09,16.3
2015-08-31,32.3,$2.38,13.57
2015-05-31,37.73,$2.54,14.85
2015-02-28,37.88,$2.40,15.78
2020-11-30,54.51,$2.64,20.65
2014-11-30,36.56,$2.40,15.23
2014-08-31,35.69,$2.40,14.87
2014-05-31,36.01,$2.39,15.07
2014-02-28,33.41,$2.39,13.98
2013-11-30,30.05,$2.35,12.79
2013-08-31,27.04,$2.32,11.65
2013-05-31,28.56,$2.26,12.64
2013-02-28,28.94,$2.15,13.46
2012-11-30,27.05,$2.12,12.76
2012-08-31,26.55,$2.02,13.14
2012-05-31,22.16,$1.97,11.25
2012-02-29,24.44,$1.90,12.86
2011-11-30,26.14,$1.82,14.36
2011-08-31,23.35,$1.76,13.27
2011-05-31,28.42,$1.67,17.02
2011-02-28,27.27,$1.51,18.06
2010-11-30,22.38,$1.33,16.83
2010-08-31,18.05,$1.25,14.44
2010-05-31,18.61,$1.36,13.68
2010-02-28,20.28,$1.16,17.48
2009-11-30,18.13,$1.15,15.77
