Performance Food Group PE Ratio Historical Data,Performance Food Group PE Ratio Historical Data,Performance Food Group PE Ratio Historical Data,Performance Food Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,83.19,,29.82
2024-06-30,66.11,$2.79,23.7
2024-03-31,74.64,$2.68,27.85
2023-12-31,69.15,$2.74,25.24
2023-09-30,58.86,$2.70,21.8
2023-06-30,60.24,$2.55,23.62
2023-03-31,60.34,$2.08,29.01
2022-12-31,58.39,$1.72,33.95
2022-09-30,42.95,$1.31,32.79
2022-06-30,45.98,$0.72,63.86
2022-03-31,50.91,$0.46,110.67
2021-12-31,45.89,$0.25,183.56
2021-09-30,46.46,$0.33,140.79
2021-06-30,48.49,$0.29,167.21
2021-03-31,57.61,$-1.13,0.0
2020-12-31,47.61,$-1.42,0.0
2020-09-30,34.62,$-1.16,0.0
2020-06-30,29.14,$-0.81,0.0
2020-03-31,24.72,$0.98,25.22
2019-12-31,51.48,$1.64,31.39
2019-09-30,46.01,$1.66,27.72
2019-06-30,40.03,$1.59,25.18
2019-03-31,39.64,$1.60,24.78
2018-12-31,32.27,$1.61,20.04
2018-09-30,33.3,$1.95,17.08
2018-06-30,36.7,$1.90,19.32
2018-03-31,29.85,$1.68,17.77
2017-12-31,33.1,$1.56,21.22
2017-09-30,28.25,$1.03,27.43
2017-06-30,27.4,$0.93,29.46
2017-03-31,23.8,$0.83,28.67
2016-12-31,24.0,$0.72,33.33
2016-09-30,24.8,$0.67,37.01
