Pinterest PE Ratio Historical Data,Pinterest PE Ratio Historical Data,Pinterest PE Ratio Historical Data,Pinterest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.94,,122.0
2024-06-30,44.07,$0.27,163.22
2024-03-31,34.67,$0.21,165.1
2023-12-31,37.04,$-0.06,0.0
2023-09-30,27.03,$-0.32,0.0
2023-06-30,27.34,$-0.43,0.0
2023-03-31,27.27,$-0.45,0.0
2022-12-31,24.28,$-0.15,0.0
2022-09-30,23.3,$0.07,332.86
2022-06-30,18.16,$0.31,58.58
2022-03-31,24.61,$0.48,51.27
2021-12-31,36.35,$0.46,79.02
2021-09-30,50.95,$0.51,99.9
2021-06-30,78.95,$0.21,375.95
2021-03-31,74.03,$-0.06,0.0
2020-12-31,65.9,$-0.28,0.0
2020-09-30,41.51,$-0.64,0.0
2020-06-30,22.17,$-0.71,0.0
2020-03-31,15.44,$-3.16,0.0
