Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.43,,20.45
2024-06-30,23.48,$1.39,16.9
2024-03-31,25.02,$1.40,17.87
2023-12-31,27.83,$1.24,22.45
2023-09-30,21.35,$1.23,17.35
2023-06-30,21.31,$1.33,16.03
2023-03-31,22.68,$1.49,15.22
2022-12-31,29.64,$1.67,17.75
2022-09-30,28.57,$1.95,14.65
2022-06-30,31.06,$1.88,16.52
2022-03-31,32.74,$1.91,17.14
2021-12-31,32.97,$2.18,15.12
2021-09-30,31.38,$2.09,15.01
2021-06-30,31.55,$2.11,14.95
2021-03-31,33.36,$2.02,16.52
2020-12-31,27.11,$1.43,18.96
2020-09-30,16.6,$1.42,11.69
2020-06-30,18.78,$1.49,12.6
2020-03-31,16.86,$1.47,11.47
2019-12-31,28.14,$1.90,14.81
2019-09-30,23.3,$1.69,13.79
2019-06-30,23.42,$1.54,15.21
2019-03-31,24.26,$1.44,16.85
2018-12-31,23.95,$1.38,17.36
2018-09-30,26.88,$1.35,19.91
2018-06-30,29.07,$1.33,21.86
2018-03-31,24.37,$1.16,21.01
2017-12-31,23.21,$0.98,23.68
2017-09-30,21.99,$0.98,22.44
2017-06-30,22.19,$0.90,24.65
2017-03-31,22.08,$0.86,25.67
2016-12-31,20.31,$0.75,27.08
2016-09-30,14.81,$0.65,22.79
2016-06-30,14.95,$0.54,27.69
2016-03-31,14.54,$0.58,25.06
2015-12-31,13.79,$0.67,20.58
2015-09-30,13.51,$0.44,30.72
2015-06-30,14.55,$0.43,33.83
2015-03-31,13.14,$0.32,41.05
2014-12-31,12.66,$0.23,55.04
2014-09-30,10.06,$0.31,32.46
2014-06-30,10.01,$2.54,3.94
2014-03-31,10.13,$2.57,3.94
2013-12-31,11.23,$2.53,4.44
2013-09-30,9.99,$2.45,4.08
2013-06-30,10.13,$0.05,202.54
2013-03-31,9.62,$-0.20,0.0
2012-12-31,7.41,$-0.25,0.0
2012-09-30,7.32,$-0.10,0.0
2012-06-30,6.86,$0.05,137.17
2012-03-31,8.1,$0.20,40.51
2011-12-31,7.0,$0.15,46.64
2011-09-30,6.77,$-0.55,0.0
2011-06-30,6.9,$-1.10,0.0
2011-03-31,7.27,$-2.35,0.0
2010-12-31,6.72,$-2.50,0.0
2010-09-30,5.62,$-5.35,0.0
2010-06-30,6.12,$-10.95,0.0
2010-03-31,7.78,$-13.40,0.0
2009-12-31,7.5,$-14.70,0.0
