Shell PE Ratio Historical Data,Shell PE Ratio Historical Data,Shell PE Ratio Historical Data,Shell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,67.34,,12.03
2024-06-30,72.18,$5.60,12.89
2024-03-31,67.04,$5.42,12.37
2023-12-31,65.8,$5.66,11.63
2023-09-30,64.38,$8.44,7.63
2023-06-30,60.38,$8.18,7.38
2023-03-31,57.54,$12.06,4.77
2022-12-31,56.95,$11.42,4.99
2022-09-30,49.76,$11.46,4.34
2022-06-30,51.81,$9.50,5.45
2022-03-31,53.96,$5.58,9.67
2021-12-31,42.26,$5.16,8.19
2021-09-30,42.93,$1.16,37.01
2021-06-30,38.92,$1.40,27.8
2021-03-31,37.44,$-4.14,0.0
2020-12-31,33.27,$-5.59,0.0
2020-09-30,23.83,$-4.31,0.0
2020-06-30,30.95,$-2.97,0.0
2020-03-31,32.69,$2.43,13.45
2019-12-31,55.25,$3.90,14.17
2019-09-30,55.13,$5.01,11.0
2019-06-30,60.96,$4.95,12.31
2019-03-31,57.79,$5.65,10.23
2018-12-31,53.0,$5.59,9.48
2018-09-30,61.05,$5.16,11.83
2018-06-30,61.15,$4.74,12.9
2018-03-31,56.36,$3.68,15.32
2017-12-31,58.08,$3.14,18.5
2017-09-30,51.95,$2.60,19.98
2017-06-30,45.61,$1.96,23.27
2017-03-31,45.22,$1.87,24.18
2016-12-31,46.63,$1.15,40.55
2016-09-30,42.15,$1.07,39.39
2016-06-30,46.49,$-1.59,0.0
2016-03-31,40.03,$-0.64,0.0
2015-12-31,37.83,$0.60,63.05
2015-09-30,38.44,$0.54,71.18
2015-06-30,46.24,$4.26,10.85
2015-03-31,48.38,$4.70,10.29
2014-12-31,53.53,$4.74,11.29
2014-09-30,60.87,$5.06,12.03
2014-06-30,65.85,$5.15,12.79
2014-03-31,57.72,$4.02,14.36
2013-12-31,55.59,$5.19,10.71
2013-09-30,50.54,$6.75,7.49
2013-06-30,48.41,$7.54,6.42
2013-03-31,48.79,$8.29,5.89
2012-12-31,50.98,$8.50,6.0
2012-09-30,50.66,$8.46,5.99
2012-06-30,48.62,$8.42,5.77
2012-03-31,49.92,$9.90,5.04
2011-12-31,51.43,$9.94,5.17
2011-09-30,42.77,$10.07,4.25
2011-06-30,48.85,$8.95,5.46
2011-03-31,49.46,$7.60,6.51
2010-12-31,44.79,$6.55,6.84
2010-09-30,39.95,$4.98,8.02
2010-06-30,32.79,$4.92,6.67
2010-03-31,37.24,$4.73,7.87
2009-12-31,38.09,$4.08,9.34
