Sony PE Ratio Historical Data,Sony PE Ratio Historical Data,Sony PE Ratio Historical Data,Sony PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.51,,17.2
2024-06-30,16.99,$1.08,15.79
2024-03-31,17.15,$1.09,15.76
2023-12-31,18.88,$1.04,18.22
2023-09-30,16.43,$1.01,16.26
2023-06-30,17.89,$1.09,16.35
2023-03-31,18.01,$1.11,16.26
2022-12-31,15.11,$1.11,13.66
2022-09-30,12.69,$1.22,10.4
2022-06-30,16.13,$1.22,13.2
2022-03-31,20.26,$1.26,16.06
2021-12-31,24.89,$1.27,19.6
2021-09-30,21.77,$1.35,16.1
2021-06-30,19.1,$1.74,11.0
2021-03-31,20.83,$1.77,11.74
2020-12-31,19.82,$1.63,12.16
2020-09-30,15.05,$1.40,10.78
2020-06-30,13.51,$0.98,13.79
2020-03-31,11.57,$0.85,13.64
2019-12-31,13.24,$0.95,13.88
2019-09-30,11.51,$1.20,9.56
2019-06-30,10.17,$1.17,8.72
2019-03-31,8.2,$1.27,6.46
2018-12-31,9.33,$1.12,8.32
2018-09-30,11.72,$0.94,12.44
2018-06-30,9.89,$0.88,11.21
2018-03-31,9.32,$0.67,13.83
2017-12-31,8.64,$0.74,11.74
2017-09-30,7.18,$0.36,20.17
2017-06-30,7.32,$0.18,39.79
2017-03-31,6.47,$0.10,62.18
2016-12-31,5.36,$-0.06,0.0
2016-09-30,6.35,$0.07,88.18
2016-06-30,5.6,$0.11,51.82
2016-03-31,4.9,$0.19,25.54
2015-12-31,4.68,$0.16,28.51
2015-09-30,4.66,$0.13,34.74
2015-06-30,5.38,$-0.14,0.0
2015-03-31,5.07,$-0.21,0.0
2014-12-31,3.88,$-0.31,0.0
2014-09-30,3.42,$-0.40,0.0
2014-06-30,3.18,$-0.21,0.0
2014-03-31,3.62,$-0.25,0.0
2013-12-31,3.27,$0.18,17.8
2013-09-30,4.08,$0.12,35.14
2013-06-30,3.99,$0.11,35.04
2013-03-31,3.28,$0.05,71.3
2012-12-31,2.1,$-0.75,0.0
2012-09-30,2.19,$-1.13,0.0
2012-06-30,2.63,$-1.16,0.0
2012-03-31,3.84,$-1.13,0.0
2011-12-31,3.31,$-1.45,0.0
2011-09-30,3.49,$-0.86,0.0
2011-06-30,4.81,$-0.72,0.0
2011-03-31,5.8,$-0.62,0.0
2010-12-31,6.47,$0.19,34.41
2010-09-30,5.6,$0.18,30.78
2010-06-30,4.81,$0.05,96.21
2010-03-31,6.91,$-0.09,0.0
2009-12-31,5.21,$-0.30,0.0
