Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data,Yum! Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,134.92,,24.71
2024-06-30,131.8,$5.46,24.14
2024-03-31,137.29,$5.64,24.34
2023-12-31,128.74,$5.59,23.03
2023-09-30,122.52,$5.26,23.29
2023-06-30,135.24,$4.94,27.38
2023-03-31,128.32,$4.25,30.19
2022-12-31,123.86,$4.56,27.16
2022-09-30,102.38,$4.38,23.37
2022-06-30,108.73,$4.99,21.79
2022-03-31,112.99,$5.51,20.51
2021-12-31,131.76,$5.22,25.24
2021-09-30,115.6,$5.19,22.27
2021-06-30,108.31,$4.36,24.84
2021-03-31,101.43,$3.74,27.12
2020-12-31,101.31,$2.94,34.46
2020-09-30,84.83,$3.44,24.66
2020-06-30,80.36,$3.33,24.13
2020-03-31,63.04,$3.58,17.61
2019-12-31,92.25,$4.14,22.28
2019-09-30,103.43,$3.60,28.73
2019-06-30,100.55,$4.19,24.0
2019-03-31,90.31,$4.53,19.94
2018-12-31,82.8,$4.88,16.97
2018-09-30,81.55,$4.42,18.45
2017-12-31,72.25,$3.79,19.06
2017-09-30,64.92,$3.24,20.04
2017-06-30,64.79,$3.62,17.9
2017-03-31,55.87,$3.85,14.51
2016-12-31,55.11,$4.01,13.74
2016-09-30,56.36,$3.93,14.34
2016-06-30,51.19,$3.32,15.42
2016-03-31,50.25,$3.04,16.53
2015-12-31,44.55,$2.92,15.26
2015-09-30,48.43,$2.09,23.17
2015-06-30,54.32,$2.03,26.76
2015-03-31,47.22,$2.23,21.17
2014-12-31,43.45,$2.29,18.97
2014-09-30,42.67,$3.19,13.38
2014-06-30,47.93,$2.63,18.22
2014-03-31,44.28,$2.51,17.64
2013-12-31,44.19,$2.36,18.72
2013-09-30,41.49,$2.38,17.43
2013-06-30,40.11,$3.05,13.15
2013-03-31,41.41,$3.13,13.23
2012-12-31,38.02,$3.68,10.33
2012-09-30,37.81,$3.71,10.19
2012-06-30,36.55,$3.51,10.41
2018-03-31,75.71,$3.47,21.82
2011-12-31,33.19,$2.74,12.11
2011-09-30,27.62,$2.55,10.83
2011-06-30,30.76,$2.71,11.35
2011-03-31,28.47,$2.80,10.17
2010-12-31,27.04,$2.85,9.49
2012-03-31,40.22,$2.79,14.42
2010-09-30,25.26,$2.28,11.08
2010-06-30,21.3,$2.23,9.55
2010-03-31,20.81,$2.27,9.17
2009-12-31,18.87,$2.23,8.46
2009-09-30,18.11,$2.75,6.59
