Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data,Avangrid PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,35.64,,14.09
2024-06-30,35.1,$2.53,13.87
2024-03-31,36.0,$2.31,15.58
2023-12-31,31.57,$1.78,17.74
2023-09-30,28.97,$1.02,28.41
2023-06-30,35.73,$1.35,26.47
2022-12-31,39.84,$2.28,17.47
2022-09-30,38.26,$2.32,16.49
2022-06-30,41.93,$2.68,15.65
2022-03-31,42.11,$2.49,16.91
2021-12-31,44.5,$1.62,27.47
2023-03-31,37.38,$2.28,16.39
2021-09-30,42.97,$2.19,19.62
2021-06-30,45.11,$2.18,20.69
2021-03-31,43.33,$2.18,19.88
2020-12-31,39.16,$1.88,20.83
2020-09-30,43.06,$2.06,20.9
2020-06-30,35.5,$2.26,15.71
2020-03-31,36.66,$2.34,15.67
2019-12-31,42.48,$2.26,18.8
2019-09-30,43.0,$1.92,22.39
2019-06-30,41.2,$1.84,22.39
2019-03-31,40.73,$1.82,22.38
2018-12-31,40.15,$1.91,21.02
2018-09-30,38.1,$1.28,29.76
2018-06-30,41.71,$1.20,34.76
2018-03-31,39.94,$1.25,31.95
2017-12-31,39.17,$1.23,31.84
2017-09-30,36.42,$2.15,16.94
2017-06-30,33.6,$2.18,15.41
2017-03-31,32.22,$2.12,15.2
2016-12-31,28.27,$2.04,13.86
2016-09-30,30.82,$1.74,17.71
