Ericsson PE Ratio Historical Data,Ericsson PE Ratio Historical Data,Ericsson PE Ratio Historical Data,Ericsson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.28,,0.0
2024-09-30,7.45,$-0.14,0.0
2024-06-30,6.06,$-0.99,0.0
2024-03-31,5.28,$-0.70,0.0
2023-12-31,6.04,$-0.73,0.0
2023-09-30,4.66,$-0.66,0.0
2023-06-30,5.1,$0.34,14.99
2023-03-31,5.47,$0.50,10.94
2022-12-31,5.34,$0.55,9.71
2022-09-30,5.25,$0.72,7.29
2022-06-30,6.64,$0.77,8.62
2022-03-31,8.2,$0.76,10.79
2021-12-31,9.61,$0.78,12.32
2021-09-30,9.9,$0.70,14.15
2021-06-30,11.01,$0.68,16.19
2021-03-31,11.55,$0.63,18.33
2020-12-31,10.37,$0.59,17.57
2020-09-30,9.38,$0.47,19.95
2020-06-30,8.01,$0.09,88.96
2020-03-31,6.9,$0.06,114.97
2019-12-31,7.49,$0.07,106.95
2019-09-30,6.8,$-0.29,0.0
2019-06-30,8.1,$0.01,810.04
2019-03-31,7.83,$-0.11,0.0
2018-12-31,7.48,$-0.22,0.0
2018-09-30,7.42,$-0.68,0.0
2018-06-30,6.46,$-0.94,0.0
2018-03-31,5.29,$-0.90,0.0
2017-12-31,5.52,$-1.24,0.0
2017-09-30,4.75,$-0.61,0.0
2017-06-30,5.93,$-0.46,0.0
2017-03-31,5.49,$-0.37,0.0
2016-12-31,4.74,$0.07,67.71
2016-09-30,5.86,$0.37,15.84
2016-06-30,6.24,$0.49,12.74
2016-03-31,7.79,$0.51,15.27
2015-12-31,7.46,$0.49,15.23
2015-09-30,7.59,$0.39,19.47
2015-06-30,8.11,$0.39,20.79
2015-03-31,9.46,$0.43,21.99
2014-12-31,9.12,$0.48,18.99
2014-09-30,9.49,$0.64,14.82
2014-06-30,9.1,$0.67,13.58
2014-03-31,9.69,$0.62,15.64
2013-12-31,8.9,$0.58,15.35
2013-09-30,9.71,$-0.04,0.0
2013-06-30,8.2,$-0.08,0.0
2013-03-31,8.86,$-0.10,0.0
2012-12-31,7.1,$0.25,28.4
2012-09-30,6.41,$0.61,10.51
2012-06-30,6.42,$0.69,9.3
2012-03-31,7.06,$0.79,8.94
2011-12-31,6.94,$0.59,11.76
2011-09-30,6.54,$0.74,8.84
2011-06-30,9.85,$0.73,13.49
2011-03-31,8.55,$0.67,12.77
2010-12-31,7.67,$0.51,15.04
2010-09-30,7.3,$0.32,22.8
2010-06-30,7.33,$0.19,38.58
2010-03-31,6.82,$0.14,48.74
2009-12-31,6.01,$0.16,37.54
