Inter Parfums PE Ratio Historical Data,Inter Parfums PE Ratio Historical Data,Inter Parfums PE Ratio Historical Data,Inter Parfums PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,120.4,,28.6
2024-06-30,115.29,$4.21,27.39
2023-12-31,141.33,$4.75,29.75
2023-09-30,131.27,$4.95,26.52
2023-06-30,131.52,$4.56,28.84
2023-03-31,137.71,$4.77,28.87
2022-12-31,93.02,$3.95,23.55
2024-03-31,138.67,$4.53,30.61
2022-09-30,72.34,$3.22,22.47
2022-06-30,69.6,$3.12,22.31
2022-03-31,83.25,$2.97,28.03
2021-12-31,100.45,$2.74,36.66
2021-09-30,70.07,$3.25,21.56
2021-06-30,67.23,$2.57,26.16
2021-03-31,66.02,$1.76,37.51
2020-12-31,56.11,$1.21,46.38
2020-09-30,34.65,$1.00,34.65
2020-06-30,44.67,$1.14,39.18
2020-03-31,43.0,$1.63,26.38
2019-12-31,67.01,$1.91,35.08
2019-09-30,64.19,$1.91,33.61
2019-06-30,60.75,$1.85,32.84
2019-03-31,69.03,$1.81,38.14
2018-12-31,59.44,$1.72,34.56
2018-09-30,58.18,$1.60,36.36
2018-06-30,48.14,$1.55,31.06
2018-03-31,42.26,$1.42,29.76
2017-12-31,38.77,$1.34,28.93
2017-09-30,36.63,$1.33,27.54
2017-06-30,32.41,$1.30,24.93
2017-03-31,32.18,$1.27,25.34
2016-12-31,28.7,$1.08,26.58
2016-09-30,28.14,$1.01,27.86
2016-06-30,24.79,$0.95,26.1
2016-03-31,26.68,$0.90,29.64
2015-12-31,20.46,$0.98,20.88
2015-09-30,21.2,$1.03,20.58
2015-06-30,28.84,$0.93,31.01
2015-03-31,27.62,$0.99,27.9
2014-12-31,23.15,$0.96,24.11
2014-09-30,23.09,$0.72,32.07
2014-06-30,24.7,$0.61,40.5
2014-03-31,30.15,$0.53,56.88
2013-12-31,29.71,$1.27,23.4
2013-09-30,24.48,$4.64,5.28
2013-06-30,23.19,$4.72,4.91
2013-03-31,19.78,$4.80,4.12
2012-12-31,15.68,$4.28,3.66
2012-09-30,14.68,$1.17,12.55
2012-06-30,13.8,$1.18,11.69
2012-03-31,12.48,$1.14,10.94
2011-12-31,12.31,$1.04,11.84
2011-09-30,12.16,$1.11,10.95
2011-06-30,18.03,$1.05,17.17
2011-03-31,14.44,$1.07,13.49
2010-12-31,14.64,$0.88,16.63
2010-09-30,13.61,$0.86,15.83
2010-06-30,10.97,$0.82,13.38
2010-03-31,11.38,$0.78,14.59
2009-12-31,9.3,$0.74,12.57
