Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data,Macy's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.29,,25.45
2024-07-31,17.08,$0.64,26.69
2024-04-30,18.05,$0.03,601.61
2024-01-31,17.77,$0.37,48.02
2023-10-31,11.73,$2.46,4.77
2023-07-31,15.75,$2.70,5.83
2023-04-30,15.35,$3.77,4.07
2023-01-31,22.01,$4.19,5.25
2022-10-31,19.28,$4.80,4.02
2022-07-31,16.17,$5.17,3.13
2022-04-30,21.98,$5.26,4.18
2022-01-31,23.13,$4.60,5.03
2021-10-31,23.78,$2.66,8.94
2021-07-31,15.16,$1.61,9.42
2021-04-30,14.79,$-0.86,0.0
2021-01-31,13.41,$-12.71,0.0
2020-10-31,5.54,$-12.12,0.0
2020-07-31,5.4,$-11.82,0.0
2020-04-30,5.23,$-10.15,0.0
2020-01-31,13.53,$1.82,7.44
2019-10-31,12.56,$3.10,4.05
2019-07-31,18.42,$3.29,5.6
2019-04-30,18.76,$3.54,5.3
2019-01-31,20.63,$3.55,5.81
2018-10-31,26.57,$5.49,4.84
2018-07-31,30.46,$5.41,5.63
2018-04-30,23.58,$5.26,4.48
2018-01-31,19.45,$5.04,3.86
2017-10-31,13.85,$2.27,6.1
2017-07-31,17.23,$2.20,7.83
2017-04-30,20.85,$1.85,11.27
2017-01-31,20.82,$1.99,10.46
2016-10-31,25.49,$2.18,11.69
2016-07-31,24.76,$2.49,9.94
2016-04-30,27.03,$3.10,8.72
2016-01-31,27.37,$3.29,8.32
2015-10-31,34.19,$3.82,8.95
2015-07-31,46.04,$4.07,11.31
2015-04-30,42.86,$4.23,10.13
2015-01-31,42.15,$4.27,9.87
2014-10-31,37.96,$4.17,9.1
2014-07-31,37.74,$4.03,9.36
2014-04-30,37.3,$3.95,9.44
2014-01-31,34.41,$3.90,8.82
2013-10-31,29.68,$3.57,8.31
2013-07-31,30.94,$3.46,8.94
2013-04-30,28.4,$3.41,8.33
2013-01-31,25.04,$3.29,7.61
2012-10-31,24.0,$3.20,7.5
2012-07-31,22.48,$3.16,7.12
2012-04-30,25.59,$3.04,8.42
2012-01-31,20.91,$2.91,7.19
2011-10-31,18.89,$2.72,6.94
2011-07-31,17.79,$2.42,7.35
2011-04-30,14.68,$2.22,6.61
2011-01-31,14.18,$1.97,7.2
2010-10-31,14.47,$1.52,9.52
2010-07-31,11.38,$1.42,8.01
2010-04-30,14.12,$1.09,12.95
2010-01-31,9.67,$0.83,11.65
2009-10-31,10.64,$0.46,23.12
