Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data,Wingstop PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,373.56,,116.74
2024-06-30,422.37,$3.20,131.99
2024-03-31,365.94,$2.81,130.23
2023-12-31,256.1,$2.35,108.98
2023-09-30,179.33,$2.30,77.97
2023-06-30,199.33,$2.10,94.92
2023-03-31,182.65,$2.00,91.32
2022-12-31,136.77,$1.77,77.27
2022-09-30,124.49,$1.41,88.29
2022-06-30,74.11,$1.34,55.31
2022-03-31,116.05,$1.28,90.67
2021-12-31,164.79,$1.43,115.24
2021-09-30,156.18,$0.99,157.75
2021-06-30,150.02,$0.95,157.92
2021-03-31,120.9,$0.96,125.94
2020-12-31,125.87,$0.79,159.33
2020-09-30,124.8,$1.10,113.46
2020-06-30,126.81,$0.96,132.1
2020-03-31,72.66,$0.74,98.19
2019-12-31,78.51,$0.69,113.78
2019-09-30,79.36,$0.67,118.44
2019-06-30,86.06,$0.68,126.56
2019-03-31,68.99,$0.74,93.22
2018-12-31,58.24,$0.73,79.78
2018-09-30,58.99,$1.01,58.41
2018-06-30,44.98,$0.97,46.37
2018-03-31,40.7,$0.92,44.24
2017-12-31,31.28,$0.93,33.64
2017-09-30,26.64,$0.72,37.0
2017-06-30,24.7,$0.64,38.6
2017-03-31,22.61,$0.60,37.68
2016-12-31,23.65,$0.53,44.63
2016-09-30,23.42,$0.51,45.93
2016-06-30,19.57,$0.53,36.93
2016-03-31,16.29,$0.41,39.73
