ZoomInfo Technologies PE Ratio Historical Data,ZoomInfo Technologies PE Ratio Historical Data,ZoomInfo Technologies PE Ratio Historical Data,ZoomInfo Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.4,,260.0
2024-06-30,12.77,$0.04,319.25
2024-03-31,16.03,$0.20,80.15
2023-12-31,18.49,$0.27,68.48
2023-09-30,16.4,$0.34,48.24
2023-06-30,25.39,$0.30,84.63
2023-03-31,24.71,$0.25,98.84
2022-12-31,30.11,$0.16,188.19
2022-09-30,41.66,$0.46,90.57
2022-06-30,33.24,$0.27,123.11
2022-03-31,59.74,$0.28,213.36
2021-12-31,64.2,$0.28,229.29
2021-09-30,61.19,$0.06,1019.83
2021-06-30,52.17,$0.23,226.83
2021-03-31,48.9,$-0.04,0.0
