Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,292.57,,56.92
2024-06-30,259.31,$5.14,50.45
2024-03-31,250.04,$4.94,50.62
2023-12-31,224.33,$4.44,50.52
2023-09-30,226.87,$5.22,43.46
2023-06-30,218.03,$5.13,42.5
2023-03-31,189.45,$5.39,35.15
2022-12-31,186.16,$5.20,35.8
2022-09-30,168.63,$5.08,33.19
2022-06-30,160.12,$4.95,32.35
2022-03-31,170.95,$4.54,37.65
2021-12-31,165.59,$4.41,37.55
2021-09-30,144.65,$4.62,31.31
2021-06-30,135.87,$4.46,30.46
2021-03-31,120.62,$4.33,27.86
2020-12-31,119.12,$2.92,40.79
2020-09-30,101.27,$2.86,35.41
2020-06-30,93.11,$2.54,36.66
2019-12-31,90.14,$3.52,25.61
2019-09-30,84.39,$3.64,23.18
2019-06-30,82.13,$4.77,17.22
2019-03-31,72.87,$4.87,14.96
2018-12-31,68.4,$3.72,18.39
2020-03-31,77.49,$4.57,16.96
2018-09-30,68.71,$3.35,20.51
2018-06-30,59.92,$3.38,17.73
2018-03-31,62.7,$3.71,16.9
2017-12-31,57.39,$2.54,22.59
2017-09-30,55.49,$2.50,22.2
2017-06-30,51.27,$2.48,20.67
2017-03-31,50.29,$2.37,21.22
2016-12-31,45.9,$2.32,19.79
2016-09-30,44.6,$2.14,20.84
2016-06-30,41.42,$2.20,18.83
2016-03-31,38.4,$2.17,17.69
2015-12-31,35.01,$2.04,17.16
2015-09-30,35.0,$2.00,17.5
2015-06-30,39.76,$1.83,21.73
2015-03-31,39.0,$1.72,22.68
2014-12-31,38.97,$1.95,19.98
2014-09-30,37.27,$2.09,17.83
2014-06-30,37.99,$2.08,18.27
2014-03-31,38.49,$2.11,18.24
2013-12-31,37.67,$2.02,18.65
2013-09-30,34.78,$2.07,16.8
2013-06-30,34.52,$2.09,16.51
2012-12-31,26.91,$1.60,16.82
2012-09-30,27.56,$1.68,16.41
2012-06-30,26.73,$1.50,17.82
2012-03-31,26.97,$1.32,20.44
2011-12-31,25.0,$1.45,17.24
2013-03-31,32.38,$1.24,26.11
2011-09-30,19.47,$1.43,13.62
2011-06-30,20.87,$1.46,14.29
2011-03-31,21.97,$1.51,14.55
2010-12-31,20.79,$1.65,12.6
2010-09-30,18.65,$1.30,14.34
2010-06-30,17.03,$1.27,13.41
2010-03-31,16.94,$1.29,13.13
2009-12-31,15.33,$1.28,11.98
