BXP PE Ratio Historical Data,BXP PE Ratio Historical Data,BXP PE Ratio Historical Data,BXP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,75.22,,70.3
2024-06-30,61.56,$1.07,57.53
2024-03-31,64.29,$1.22,52.69
2023-12-31,68.01,$1.21,56.21
2023-09-30,56.88,$1.23,46.24
2023-06-30,54.17,$4.23,12.81
2023-03-31,50.05,$4.99,10.03
2022-12-31,61.37,$5.40,11.36
2022-09-30,67.11,$5.80,11.57
2022-06-30,78.62,$4.20,18.72
2022-03-31,112.57,$3.49,32.26
2021-12-31,99.92,$3.17,31.52
2021-09-30,93.21,$2.04,45.69
2021-06-30,97.71,$1.93,50.63
2021-03-31,85.61,$2.93,29.22
2020-12-31,79.17,$5.54,14.29
2020-09-30,66.55,$6.40,10.4
2020-06-30,74.01,$6.52,11.35
2020-03-31,74.7,$5.87,12.73
2019-12-31,110.5,$3.30,33.48
2019-09-30,103.19,$3.35,30.8
2019-06-30,101.92,$3.42,29.8
2019-03-31,104.99,$3.19,32.91
2018-12-31,87.64,$3.70,23.69
2018-09-30,95.04,$3.41,27.87
2018-06-30,96.09,$3.40,28.26
2018-03-31,93.8,$3.44,27.27
2017-12-31,98.35,$2.93,33.57
2017-09-30,92.37,$3.20,28.86
2017-06-30,91.91,$2.94,31.26
2017-03-31,98.33,$2.70,36.42
2016-12-31,92.87,$3.25,28.58
2016-09-30,100.02,$3.21,31.16
2016-06-30,96.35,$3.91,24.64
2016-03-31,92.36,$3.80,24.31
2015-12-31,92.22,$3.73,24.72
2015-09-30,84.38,$3.97,21.25
2015-06-30,85.77,$3.60,23.83
2015-03-31,99.03,$3.58,27.66
2014-12-31,90.29,$2.82,32.02
2014-09-30,78.14,$2.26,34.58
2014-06-30,79.33,$2.43,32.65
2014-03-31,76.46,$4.87,15.7
2013-12-31,66.62,$4.83,13.79
2013-09-30,68.96,$4.68,14.74
2013-06-30,67.63,$4.06,16.66
2013-03-31,64.4,$1.91,33.72
2012-12-31,66.99,$2.03,33.0
2012-09-30,69.6,$2.29,30.39
2012-06-30,67.86,$2.39,28.39
2012-03-31,65.39,$2.01,32.53
2011-12-31,61.71,$1.87,33.0
2011-09-30,54.9,$1.09,50.37
2011-06-30,65.05,$1.02,63.78
2011-03-31,57.85,$1.05,55.09
2010-12-31,52.23,$1.14,45.82
2010-09-30,50.13,$1.61,31.14
2010-06-30,42.78,$1.67,25.61
2010-03-31,44.93,$1.76,25.53
2009-12-31,39.69,$1.75,22.68
