Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data,Equifax PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,307.13,,65.63
2024-06-30,242.46,$4.68,51.81
2024-03-31,267.08,$4.49,59.48
2023-12-31,246.52,$4.40,56.03
2023-09-30,182.27,$4.22,43.19
2023-06-30,233.69,$4.25,54.99
2023-03-31,201.07,$4.76,42.24
2022-12-31,192.3,$5.65,34.04
2022-09-30,169.27,$5.76,29.39
2022-06-30,180.1,$6.08,29.62
2022-03-31,233.15,$6.19,37.67
2021-12-31,287.39,$6.03,47.66
2021-09-30,248.41,$5.65,43.97
2021-06-30,234.44,$5.81,40.35
2021-03-31,177.01,$4.85,36.5
2020-12-31,188.03,$4.13,45.53
2020-09-30,152.65,$3.59,42.52
2020-06-30,166.81,$2.43,68.65
2020-03-31,115.62,$2.20,52.55
2019-12-31,135.28,$-3.29,0.0
2019-09-30,135.43,$-3.15,0.0
2019-06-30,129.85,$-3.49,0.0
2019-03-31,113.41,$-2.85,0.0
2018-12-31,88.81,$2.47,35.96
2018-09-30,124.04,$3.68,33.71
2018-06-30,118.51,$4.15,28.56
2018-03-31,111.22,$4.32,25.74
2017-12-31,110.98,$4.83,22.98
2017-09-30,99.4,$4.42,22.49
2017-06-30,128.51,$4.72,27.23
2017-03-31,127.51,$4.44,28.72
2016-12-31,109.93,$4.03,27.28
2016-09-30,124.8,$3.95,31.59
2016-06-30,118.77,$3.84,30.93
2016-03-31,105.43,$3.68,28.65
2015-12-31,102.42,$3.56,28.77
2015-09-30,89.13,$3.43,25.99
2015-06-30,88.81,$3.20,27.75
2015-03-31,84.82,$3.03,27.99
2014-12-31,73.53,$2.97,24.76
2014-09-30,67.74,$2.79,24.28
2014-06-30,65.54,$2.75,23.83
2014-03-31,61.24,$2.73,22.43
2013-12-31,61.97,$2.88,21.52
2013-09-30,53.33,$2.64,20.2
2013-06-30,52.33,$2.57,20.36
2013-03-31,50.96,$2.46,20.71
2012-12-31,47.69,$2.22,21.48
2012-09-30,40.9,$2.45,16.69
2012-06-30,40.6,$2.35,17.28
2012-03-31,38.41,$2.01,19.11
2011-12-31,33.48,$1.89,17.71
2011-09-30,26.44,$1.78,14.85
2011-06-30,29.71,$1.85,16.06
2011-03-31,33.1,$2.13,15.54
2010-12-31,30.19,$2.11,14.31
2010-09-30,26.34,$2.08,12.66
2010-06-30,23.66,$1.94,12.19
2010-03-31,30.14,$1.85,16.29
2009-12-31,25.98,$1.84,14.12
