McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,561.08,,25.07
2024-03-31,536.17,$22.38,23.96
2023-12-31,461.85,$22.07,20.93
2023-09-30,433.78,$25.31,17.14
2023-06-30,425.62,$26.81,15.88
2023-03-31,354.16,$25.11,14.1
2022-12-31,372.55,$21.87,17.03
2022-09-30,337.06,$14.17,23.79
2022-06-30,323.04,$9.46,34.15
2022-03-31,302.72,$7.21,41.99
2021-12-31,245.38,$8.89,27.6
2021-09-30,196.4,$-30.10,0.0
2021-06-30,187.95,$-28.27,0.0
2021-03-31,190.85,$-28.62,0.0
2020-12-31,169.77,$-26.92,0.0
2020-09-30,145.04,$13.14,11.04
2020-06-30,149.0,$5.61,26.56
2020-03-31,131.03,$5.13,25.54
2019-12-31,133.6,$-4.89,0.0
2019-09-30,131.62,$1.08,121.87
2019-06-30,129.05,$7.47,17.28
2019-03-31,112.05,$7.74,14.48
2024-06-30,583.3,$11.23,51.94
2018-12-31,105.42,$-1.35,0.0
2018-09-30,126.19,$0.58,217.58
2018-06-30,126.52,$-1.92,0.0
2018-03-31,133.29,$0.22,605.87
2017-12-31,147.22,$22.57,6.52
2017-09-30,144.68,$21.09,6.86
2017-06-30,154.62,$22.42,6.9
2017-03-31,139.09,$23.34,5.96
2016-12-31,131.52,$8.45,15.56
2016-09-30,155.83,$8.33,18.71
2016-06-30,174.16,$9.62,18.1
2016-03-31,146.51,$9.69,15.12
2015-12-31,183.43,$8.37,21.92
2015-09-30,171.84,$7.64,22.49
2015-06-30,208.49,$7.00,29.78
2015-03-31,209.56,$6.27,33.42
2014-12-31,192.11,$7.29,26.35
2014-09-30,179.96,$5.57,32.31
2014-06-30,171.92,$5.32,32.32
2014-03-31,162.81,$5.43,29.98
2013-12-31,148.62,$4.95,30.02
2013-09-30,117.97,$5.91,19.96
2013-06-30,105.07,$5.84,17.99
2013-03-31,98.9,$6.10,16.21
2012-12-31,88.65,$6.20,14.3
2012-09-30,78.49,$6.14,12.78
2012-03-31,79.71,$5.60,14.23
2011-12-31,70.59,$5.13,13.76
2011-09-30,65.7,$5.51,11.92
2011-06-30,75.4,$4.93,15.29
2011-03-31,71.09,$5.05,14.08
2012-06-30,85.34,$4.53,18.84
2010-12-31,63.15,$4.21,15.0
2010-09-30,55.28,$4.80,11.52
2010-06-30,59.91,$4.66,12.86
2010-03-31,58.47,$4.62,12.66
2009-12-31,55.49,$4.37,12.7
