Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,103.61,,17.07
2024-06-30,96.33,$6.07,15.87
2024-03-31,92.47,$5.49,16.84
2023-12-31,90.7,$5.17,17.54
2023-09-30,78.49,$5.58,14.07
2023-06-30,81.32,$5.67,14.34
2023-03-31,82.89,$5.82,14.24
2022-12-31,79.62,$6.14,12.97
2022-09-30,73.3,$6.89,10.64
2022-06-30,69.91,$7.40,9.45
2022-03-31,79.67,$7.86,10.14
2021-12-31,88.86,$8.03,11.07
2021-09-30,87.5,$7.83,11.17
2021-06-30,81.85,$7.51,10.9
2021-03-31,69.04,$7.62,9.06
2020-12-31,60.61,$6.44,9.41
2020-09-30,42.46,$5.93,7.16
2020-06-30,42.11,$5.54,7.6
2020-03-31,29.39,$4.81,6.11
2019-12-31,43.91,$5.19,8.46
2019-09-30,36.37,$4.69,7.76
2019-06-30,37.05,$4.59,8.07
2019-03-31,35.47,$4.66,7.61
2018-12-31,33.1,$4.72,7.01
2018-09-30,38.61,$4.21,9.17
2018-06-30,39.07,$3.97,9.84
2018-03-31,44.26,$3.54,12.5
2017-12-31,42.85,$3.09,13.87
2017-09-30,39.15,$3.61,10.84
2017-06-30,36.02,$3.49,10.32
2017-03-31,34.47,$3.37,10.23
2016-12-31,33.84,$2.92,11.59
2016-09-30,25.53,$2.50,10.21
2016-06-30,20.55,$2.17,9.47
2016-03-31,19.67,$2.27,8.67
2015-12-31,24.87,$2.90,8.58
2015-09-30,24.52,$2.98,8.23
2015-06-30,30.08,$3.34,9.01
2015-03-31,27.57,$3.43,8.04
2014-12-31,29.88,$2.99,9.99
2014-09-30,26.55,$2.59,10.25
2014-06-30,24.75,$2.20,11.25
2014-03-31,23.78,$1.67,14.24
2013-12-31,23.89,$1.42,16.82
2013-09-30,20.49,$1.60,12.81
2013-06-30,18.54,$0.60,30.91
2013-03-31,16.64,$0.48,34.68
2012-12-31,14.45,$-0.07,0.0
2012-09-30,12.61,$-0.47,0.0
2012-06-30,10.95,$1.23,8.9
2012-03-31,14.7,$0.56,26.25
2011-12-31,11.29,$1.12,10.08
2011-09-30,10.06,$1.68,5.99
2011-06-30,17.1,$0.46,37.16
2011-03-31,20.26,$1.93,10.5
2010-12-31,20.14,$2.42,8.32
2010-09-30,18.23,$2.30,7.93
2010-06-30,17.11,$2.75,6.22
2010-03-31,21.56,$0.56,38.5
2009-12-31,21.75,$-1.00,0.0
