Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data,Republic Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,208.21,,34.88
2024-06-30,193.8,$5.97,32.46
2024-03-31,190.37,$5.70,33.4
2023-12-31,163.99,$5.47,29.98
2023-09-30,141.26,$5.17,27.32
2023-06-30,151.26,$4.97,30.43
2023-03-31,133.1,$4.79,27.79
2022-12-31,126.51,$4.69,26.97
2022-09-30,132.91,$4.58,29.02
2022-06-30,127.4,$4.36,29.22
2022-03-31,128.53,$4.22,30.46
2021-12-31,134.8,$4.04,33.37
2021-09-30,115.68,$3.80,30.44
2021-06-30,105.59,$3.51,30.08
2021-03-31,94.99,$3.19,29.78
2020-12-31,91.68,$3.03,30.26
2020-09-30,88.48,$3.19,27.74
2020-06-30,77.42,$3.31,23.39
2020-03-31,70.48,$3.38,20.85
2019-12-31,83.71,$3.33,25.14
2019-09-30,80.47,$3.35,24.02
2019-06-30,80.17,$3.23,24.82
2019-03-31,74.06,$3.16,23.44
2018-12-31,66.11,$3.16,20.92
2018-09-30,66.64,$4.22,15.79
2018-06-30,62.37,$4.07,15.32
2018-03-31,60.13,$3.96,15.18
2017-12-31,61.06,$3.79,16.11
2017-09-30,59.36,$2.36,25.15
2017-06-30,56.97,$1.95,29.21
2017-03-31,55.86,$1.87,29.87
2016-12-31,50.48,$1.77,28.52
2016-09-30,44.39,$1.71,25.96
2016-06-30,44.86,$2.07,21.67
2016-03-31,41.42,$2.09,19.82
2015-12-31,38.0,$2.13,17.84
2015-09-30,35.11,$1.78,19.73
2015-06-30,33.13,$1.69,19.61
2015-03-31,34.07,$1.65,20.65
2014-12-31,33.57,$1.53,21.94
2014-09-30,32.32,$2.04,15.84
2014-06-30,31.23,$1.99,15.69
2014-03-31,27.9,$1.64,17.02
2013-12-31,26.91,$1.61,16.72
2013-09-30,26.83,$1.31,20.48
2013-06-30,27.09,$1.26,21.5
2013-03-31,26.16,$1.51,17.32
2012-12-31,23.08,$1.55,14.89
2012-09-30,21.48,$1.71,12.56
2012-06-30,20.48,$1.81,11.32
2012-03-31,23.45,$1.53,15.33
2011-12-31,20.99,$1.53,13.72
2011-09-30,21.21,$1.37,15.48
2011-06-30,23.14,$1.27,18.22
2010-12-31,22.1,$1.32,16.74
2010-09-30,22.42,$1.03,21.77
2010-06-30,21.72,$1.09,19.92
2010-03-31,21.06,$0.99,21.28
2009-12-31,20.42,$1.41,14.48
2011-03-31,22.38,$1.62,13.82
