Allegiant Travel Price to Free Cash Flow Ratio Historical Data,Allegiant Travel Price to Free Cash Flow Ratio Historical Data,Allegiant Travel Price to Free Cash Flow Ratio Historical Data,Allegiant Travel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.15,,0.0
2024-06-30,50.23,$-5.05,0.0
2024-03-31,74.45,$-6.63,0.0
2023-12-31,81.17,$-3.86,0.0
2023-09-30,74.81,$-14.94,0.0
2023-06-30,122.2,$-3.40,0.0
2023-03-31,89.01,$3.08,28.94
2022-12-31,65.79,$-5.93,0.0
2022-03-31,157.14,$16.62,9.46
2021-12-31,181.0,$17.10,10.58
2021-09-30,189.16,$7.68,24.65
2021-06-30,187.73,$3.36,55.9
2021-03-31,236.17,$-6.30,0.0
2020-12-31,183.12,$-1.14,0.0
2022-06-30,109.44,$1.26,87.1
2020-09-30,115.93,$7.53,15.39
2020-06-30,105.68,$2.98,35.51
2020-03-31,79.16,$-8.14,0.0
2019-12-31,167.55,$-4.03,0.0
2019-09-30,143.48,$-1.44,0.0
2019-06-30,136.94,$-1.96,0.0
2019-03-31,122.96,$-2.81,0.0
2018-12-31,94.68,$1.37,69.23
2018-09-30,119.1,$-8.77,0.0
2018-06-30,129.85,$-10.74,0.0
2018-03-31,160.54,$-10.62,0.0
2017-12-31,143.37,$-11.78,0.0
2017-09-30,121.4,$4.32,28.09
2017-06-30,124.29,$4.79,25.94
2017-03-31,146.15,$9.05,16.15
2016-12-31,151.16,$9.00,16.8
2016-09-30,119.47,$3.77,31.67
2016-06-30,136.31,$10.04,13.58
2016-03-31,159.42,$12.50,12.75
2015-12-31,150.0,$6.25,24.01
2015-09-30,191.17,$3.75,50.98
2015-06-30,157.04,$0.50,312.52
2014-12-31,132.34,$-0.54,0.0
2014-09-30,106.99,$-4.32,0.0
2014-06-30,101.89,$2.82,36.13
2014-03-31,96.84,$2.35,41.26
2013-12-31,91.22,$-4.49,0.0
2015-03-31,169.51,$5.17,32.8
2013-09-30,89.22,$1.14,78.38
2013-06-30,89.75,$4.29,20.93
2013-03-31,75.18,$6.07,12.38
2012-12-31,62.17,$3.80,16.35
2012-09-30,52.23,$2.79,18.74
2012-06-30,57.44,$2.43,23.64
2012-03-31,44.93,$2.93,15.33
2011-12-31,43.97,$2.32,18.99
2011-09-30,38.85,$3.23,12.04
2011-06-30,40.8,$3.28,12.46
2011-03-31,36.11,$0.83,43.5
2010-12-31,40.59,$-0.00,0.0
2010-09-30,34.89,$7.94,4.39
2010-06-30,35.19,$0.28,124.44
2010-03-31,47.02,$2.42,19.46
2009-12-31,38.34,$1.21,31.74
2022-09-30,70.62,$-4.62,0.0
