Appian Price to Free Cash Flow Ratio Historical Data,Appian Price to Free Cash Flow Ratio Historical Data,Appian Price to Free Cash Flow Ratio Historical Data,Appian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.81,,0.0
2024-06-30,30.86,$-1.05,0.0
2024-03-31,39.95,$-1.01,0.0
2023-12-31,37.66,$-1.64,0.0
2023-09-30,45.61,$-1.73,0.0
2023-06-30,47.6,$-1.45,0.0
2023-03-31,44.38,$-1.67,0.0
2022-12-31,32.56,$-1.60,0.0
2022-09-30,40.83,$-1.70,0.0
2022-06-30,47.36,$-1.46,0.0
2022-03-31,60.82,$-1.13,0.0
2021-12-31,65.21,$-0.84,0.0
2021-09-30,92.51,$-0.44,0.0
2021-06-30,137.75,$-0.16,0.0
2021-03-31,132.95,$-0.11,0.0
2020-12-31,162.09,$-0.13,0.0
2020-09-30,64.75,$-0.31,0.0
2020-06-30,51.25,$-0.50,0.0
2020-03-31,40.23,$-0.37,0.0
2019-12-31,38.21,$-0.63,0.0
2019-09-30,47.5,$-0.72,0.0
2019-06-30,36.07,$-0.45,0.0
2019-03-31,34.43,$-0.69,0.0
2018-12-31,26.71,$-0.62,0.0
2018-09-30,33.1,$-0.44,0.0
2018-06-30,36.16,$-0.46,0.0
2018-03-31,25.18,$-0.44,0.0
