BlackBerry Price to Free Cash Flow Ratio Historical Data,BlackBerry Price to Free Cash Flow Ratio Historical Data,BlackBerry Price to Free Cash Flow Ratio Historical Data,BlackBerry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.58,,0.0
2024-08-31,2.35,$-0.14,0.0
2024-05-31,2.79,$-0.21,0.0
2024-02-29,2.78,$-0.02,0.0
2023-11-30,3.67,$-0.01,0.0
2023-08-31,5.56,$-0.24,0.0
2023-05-31,5.35,$-0.16,0.0
2023-02-28,3.88,$-0.40,0.0
2022-11-30,4.87,$-0.37,0.0
2022-08-31,5.94,$-0.10,0.0
2022-05-31,6.05,$-0.06,0.0
2022-02-28,6.87,$-0.06,0.0
2021-11-30,9.52,$0.02,488.21
2021-08-31,11.41,$0.10,115.72
2021-05-31,10.07,$0.13,78.92
2021-02-28,10.05,$0.13,76.19
2020-11-30,5.87,$0.09,61.92
2020-08-31,5.22,$0.10,50.24
2020-05-31,4.64,$0.07,63.39
2020-02-29,5.17,$0.02,226.75
2019-11-30,5.57,$-0.01,0.0
2019-08-31,6.87,$0.03,260.23
2019-05-31,7.85,$0.05,154.53
2019-02-28,8.7,$0.14,63.83
2018-11-30,8.79,$-0.08,0.0
2018-08-31,10.67,$-0.29,0.0
2018-05-31,11.83,$1.25,9.5
2018-02-28,12.14,$1.47,8.27
2017-08-31,9.27,$1.16,8.0
2017-05-31,10.57,$1.43,7.4
2017-02-28,6.96,$-0.28,0.0
2016-11-30,7.71,$-0.46,0.0
2016-08-31,7.59,$0.19,39.7
2016-05-31,7.27,$0.23,32.01
2016-02-29,7.81,$0.72,10.82
2015-08-31,7.59,$1.02,7.48
2015-05-31,9.8,$1.36,7.23
2015-02-28,10.81,$2.04,5.31
2014-11-30,10.39,$0.60,17.18
2014-08-31,10.18,$0.05,198.83
2014-05-31,7.6,$-0.93,0.0
2014-02-28,10.0,$-0.75,0.0
2013-11-30,6.33,$0.55,11.53
2013-08-31,10.12,$2.45,4.13
2013-05-31,13.96,$3.58,3.89
2013-02-28,13.36,$3.61,3.71
2012-11-30,11.6,$5.02,2.31
2012-08-31,6.69,$4.66,1.44
2012-05-31,10.33,$3.38,3.06
2012-02-29,14.17,$3.83,3.7
2011-11-30,17.86,$3.37,5.3
2011-08-31,32.49,$3.47,9.35
2011-05-31,42.85,$5.43,7.89
2011-02-28,66.2,$5.52,12.0
2010-11-30,61.83,$5.23,11.81
2010-08-31,42.84,$5.36,7.99
2010-05-31,60.69,$4.52,13.42
2010-02-28,70.88,$3.56,19.93
2009-11-30,57.89,$3.28,17.63
2009-08-31,73.06,$0.58,125.27
2009-05-31,78.64,$1.72,45.79
